token,offset,surprisal,model,string_id
If,0,,transfo-xl-wt103,1
you,2,3.5469372272491455,transfo-xl-wt103,1
were,5,2.682978630065918,transfo-xl-wt103,1
to,9,1.7485589981079102,transfo-xl-wt103,1
journey,11,11.162554740905762,transfo-xl-wt103,1
to,18,1.4589548110961914,transfo-xl-wt103,1
the,20,1.105007290840149,transfo-xl-wt103,1
North,23,6.200549125671387,transfo-xl-wt103,1
of,28,3.4300081729888916,transfo-xl-wt103,1
England,30,3.835364818572998,transfo-xl-wt103,1
",",37,0.3187519311904907,transfo-xl-wt103,1
you,38,3.6720240116119385,transfo-xl-wt103,1
would,41,0.6182517409324646,transfo-xl-wt103,1
come,46,5.064640045166016,transfo-xl-wt103,1
to,50,1.250992774963379,transfo-xl-wt103,1
a,52,2.8983969688415527,transfo-xl-wt103,1
valley,53,9.698408126831055,transfo-xl-wt103,1
that,59,2.674429178237915,transfo-xl-wt103,1
is,63,2.184098243713379,transfo-xl-wt103,1
surrounded,65,5.25800895690918,transfo-xl-wt103,1
by,75,0.06127403303980827,transfo-xl-wt103,1
moors,77,9.493765830993652,transfo-xl-wt103,1
as,82,5.123072624206543,transfo-xl-wt103,1
high,84,6.560981273651123,transfo-xl-wt103,1
as,88,0.04159676283597946,transfo-xl-wt103,1
mountains,90,5.674320220947266,transfo-xl-wt103,1
.,99,1.1226726770401,transfo-xl-wt103,1
It,100,4.872500419616699,transfo-xl-wt103,1
is,102,0.9556779265403748,transfo-xl-wt103,1
in,104,4.349569320678711,transfo-xl-wt103,1
this,106,0.2051745355129242,transfo-xl-wt103,1
valley,110,0.2858301103115082,transfo-xl-wt103,1
where,116,3.8139901161193848,transfo-xl-wt103,1
you,121,3.020702600479126,transfo-xl-wt103,1
would,124,2.4648139476776123,transfo-xl-wt103,1
find,129,2.3820602893829346,transfo-xl-wt103,1
the,133,1.872294545173645,transfo-xl-wt103,1
city,136,8.426841735839844,transfo-xl-wt103,1
of,140,1.61758291721344,transfo-xl-wt103,1
Bradford,142,5.526287078857422,transfo-xl-wt103,1
",",150,1.3777790069580078,transfo-xl-wt103,1
where,151,2.085986852645874,transfo-xl-wt103,1
once,156,9.239352226257324,transfo-xl-wt103,1
a,160,3.0284929275512695,transfo-xl-wt103,1
thousand,161,5.693909645080566,transfo-xl-wt103,1
spinning,169,15.700636863708496,transfo-xl-wt103,1
jennies,177,10.521440505981445,transfo-xl-wt103,1
that,184,6.28372859954834,transfo-xl-wt103,1
hummed,188,14.690803527832031,transfo-xl-wt103,1
and,194,2.1713688373565674,transfo-xl-wt103,1
clattered,197,11.942362785339355,transfo-xl-wt103,1
spun,206,7.6963605880737305,transfo-xl-wt103,1
wool,210,7.780606746673584,transfo-xl-wt103,1
into,214,4.561790466308594,transfo-xl-wt103,1
money,218,8.911150932312012,transfo-xl-wt103,1
for,223,2.433572769165039,transfo-xl-wt103,1
the,226,1.2664639949798584,transfo-xl-wt103,1
long,229,9.008310317993164,transfo-xl-wt103,1
@-@,233,0.8911120891571045,transfo-xl-wt103,1
bearded,236,13.757218360900879,transfo-xl-wt103,1
mill,243,7.058961391448975,transfo-xl-wt103,1
owners,247,1.9590917825698853,transfo-xl-wt103,1
.,253,0.4879157245159149,transfo-xl-wt103,1
That,254,6.590262413024902,transfo-xl-wt103,1
all,258,7.11771297454834,transfo-xl-wt103,1
mill,261,10.301756858825684,transfo-xl-wt103,1
owners,265,1.6058335304260254,transfo-xl-wt103,1
were,271,2.048356771469116,transfo-xl-wt103,1
generally,275,8.361196517944336,transfo-xl-wt103,1
busy,284,6.763352394104004,transfo-xl-wt103,1
as,288,5.852392196655273,transfo-xl-wt103,1
beavers,290,11.31130313873291,transfo-xl-wt103,1
and,297,1.8350131511688232,transfo-xl-wt103,1
quite,300,10.500822067260742,transfo-xl-wt103,1
pleased,305,7.566616535186768,transfo-xl-wt103,1
with,312,0.25119563937187195,transfo-xl-wt103,1
themselves,316,4.9493632316589355,transfo-xl-wt103,1
for,326,4.650740623474121,transfo-xl-wt103,1
being,329,3.392436981201172,transfo-xl-wt103,1
so,334,4.313468933105469,transfo-xl-wt103,1
successful,336,3.48382830619812,transfo-xl-wt103,1
and,346,3.3707637786865234,transfo-xl-wt103,1
well,349,5.875429153442383,transfo-xl-wt103,1
off,353,4.759890556335449,transfo-xl-wt103,1
was,356,4.929618835449219,transfo-xl-wt103,1
known,359,6.40985107421875,transfo-xl-wt103,1
to,364,2.1185522079467773,transfo-xl-wt103,1
the,366,1.2884160280227661,transfo-xl-wt103,1
residents,369,4.700178623199463,transfo-xl-wt103,1
of,378,0.3579021394252777,transfo-xl-wt103,1
Bradford,380,0.07094191759824753,transfo-xl-wt103,1
",",388,2.6218574047088623,transfo-xl-wt103,1
and,389,1.8395724296569824,transfo-xl-wt103,1
if,392,6.204421043395996,transfo-xl-wt103,1
you,394,3.023926019668579,transfo-xl-wt103,1
were,397,1.216775894165039,transfo-xl-wt103,1
to,401,0.7051452398300171,transfo-xl-wt103,1
go,403,2.9790096282958984,transfo-xl-wt103,1
into,405,3.2963619232177734,transfo-xl-wt103,1
the,409,1.0538004636764526,transfo-xl-wt103,1
city,412,2.7512080669403076,transfo-xl-wt103,1
to,416,2.5623977184295654,transfo-xl-wt103,1
visit,418,5.265616416931152,transfo-xl-wt103,1
the,423,1.1881276369094849,transfo-xl-wt103,1
stately,426,13.531224250793457,transfo-xl-wt103,1
City,433,10.60318660736084,transfo-xl-wt103,1
Hall,437,0.015978388488292694,transfo-xl-wt103,1
",",441,0.7661237120628357,transfo-xl-wt103,1
you,442,0.4582071304321289,transfo-xl-wt103,1
would,445,0.4137738049030304,transfo-xl-wt103,1
see,450,3.1473052501678467,transfo-xl-wt103,1
there,453,5.8069329261779785,transfo-xl-wt103,1
the,458,3.1634209156036377,transfo-xl-wt103,1
Crest,461,15.039400100708008,transfo-xl-wt103,1
of,466,0.3489263951778412,transfo-xl-wt103,1
the,468,1.8160892724990845,transfo-xl-wt103,1
City,471,1.6455509662628174,transfo-xl-wt103,1
of,475,1.1753813028335571,transfo-xl-wt103,1
Bradford,477,0.002724390011280775,transfo-xl-wt103,1
",",485,1.6556317806243896,transfo-xl-wt103,1
which,486,1.567187786102295,transfo-xl-wt103,1
those,491,10.395720481872559,transfo-xl-wt103,1
same,496,6.631890296936035,transfo-xl-wt103,1
mill,500,6.593108177185059,transfo-xl-wt103,1
owners,504,0.01372377946972847,transfo-xl-wt103,1
created,510,5.297366142272949,transfo-xl-wt103,1
to,517,2.6374588012695312,transfo-xl-wt103,1
celebrate,519,4.717356204986572,transfo-xl-wt103,1
their,528,1.0255255699157715,transfo-xl-wt103,1
achievements,533,3.56663179397583,transfo-xl-wt103,1
.,545,0.40910792350769043,transfo-xl-wt103,1
It,546,4.256434440612793,transfo-xl-wt103,1
shows,548,7.785173416137695,transfo-xl-wt103,1
a,553,3.4928011894226074,transfo-xl-wt103,1
sinister,554,8.400209426879883,transfo-xl-wt103,1
looking,562,9.933774948120117,transfo-xl-wt103,1
boar,569,15.092768669128418,transfo-xl-wt103,1
's,573,3.210709571838379,transfo-xl-wt103,1
head,575,0.4355127215385437,transfo-xl-wt103,1
sitting,579,6.84217643737793,transfo-xl-wt103,1
on,586,0.9542315602302551,transfo-xl-wt103,1
top,588,1.937908411026001,transfo-xl-wt103,1
of,591,0.00838426686823368,transfo-xl-wt103,1
a,593,0.6033837199211121,transfo-xl-wt103,1
well,594,5.430754661560059,transfo-xl-wt103,1
which,598,6.2141900062561035,transfo-xl-wt103,1
seems,603,4.645333766937256,transfo-xl-wt103,1
puzzling,608,10.51943588256836,transfo-xl-wt103,1
at,616,4.879692077636719,transfo-xl-wt103,1
first,618,0.9999885559082031,transfo-xl-wt103,1
",",623,1.1929755210876465,transfo-xl-wt103,1
but,624,0.2882295846939087,transfo-xl-wt103,1
