token,offset,surprisal,model,string_id
If,0,,EleutherAI/gpt-neo-2.7B,1
 you,2,0.7628406286239624,EleutherAI/gpt-neo-2.7B,1
 were,6,3.7926156520843506,EleutherAI/gpt-neo-2.7B,1
 to,11,1.396504521369934,EleutherAI/gpt-neo-2.7B,1
 journey,14,8.118556022644043,EleutherAI/gpt-neo-2.7B,1
 to,22,1.1414438486099243,EleutherAI/gpt-neo-2.7B,1
 the,25,1.1194593906402588,EleutherAI/gpt-neo-2.7B,1
 North,29,4.463430404663086,EleutherAI/gpt-neo-2.7B,1
 of,35,3.729362964630127,EleutherAI/gpt-neo-2.7B,1
 England,38,2.1058192253112793,EleutherAI/gpt-neo-2.7B,1
",",46,1.2439193725585938,EleutherAI/gpt-neo-2.7B,1
 you,47,0.8006098866462708,EleutherAI/gpt-neo-2.7B,1
 would,51,0.7741430997848511,EleutherAI/gpt-neo-2.7B,1
 come,57,2.8598248958587646,EleutherAI/gpt-neo-2.7B,1
 to,62,0.7784010171890259,EleutherAI/gpt-neo-2.7B,1
 a,65,1.1744089126586914,EleutherAI/gpt-neo-2.7B,1
 valley,67,4.748331069946289,EleutherAI/gpt-neo-2.7B,1
 that,74,1.9952754974365234,EleutherAI/gpt-neo-2.7B,1
 is,79,1.2169402837753296,EleutherAI/gpt-neo-2.7B,1
 surrounded,82,4.064332485198975,EleutherAI/gpt-neo-2.7B,1
 by,93,0.11975276470184326,EleutherAI/gpt-neo-2.7B,1
 mo,96,4.847429275512695,EleutherAI/gpt-neo-2.7B,1
ors,99,0.0021627387031912804,EleutherAI/gpt-neo-2.7B,1
 as,102,6.118996620178223,EleutherAI/gpt-neo-2.7B,1
 high,105,3.25203013420105,EleutherAI/gpt-neo-2.7B,1
 as,110,0.06920777261257172,EleutherAI/gpt-neo-2.7B,1
 mountains,113,3.374460220336914,EleutherAI/gpt-neo-2.7B,1
.,123,0.455117791891098,EleutherAI/gpt-neo-2.7B,1
 It,124,2.204859733581543,EleutherAI/gpt-neo-2.7B,1
 is,127,0.46676239371299744,EleutherAI/gpt-neo-2.7B,1
