token,offset,surprisal,model,string_id
If,0,,gpt2-large,1
 you,2,0.7012755870819092,gpt2-large,1
 were,6,4.181474685668945,gpt2-large,1
 to,11,1.1449668407440186,gpt2-large,1
 journey,14,10.099493026733398,gpt2-large,1
 to,22,0.9874807000160217,gpt2-large,1
 the,25,0.8593653440475464,gpt2-large,1
 North,29,4.20870304107666,gpt2-large,1
 of,35,3.3981149196624756,gpt2-large,1
 England,38,1.7660624980926514,gpt2-large,1
",",46,0.9263284206390381,gpt2-large,1
 you,47,0.8251638412475586,gpt2-large,1
 would,51,0.6019269824028015,gpt2-large,1
 come,57,3.2106552124023438,gpt2-large,1
 to,62,1.4261739253997803,gpt2-large,1
 a,65,1.7995054721832275,gpt2-large,1
 valley,67,5.8064727783203125,gpt2-large,1
 that,74,2.412113666534424,gpt2-large,1
 is,79,1.4572917222976685,gpt2-large,1
 surrounded,82,4.6355814933776855,gpt2-large,1
 by,93,0.12894168496131897,gpt2-large,1
 mo,96,6.967554092407227,gpt2-large,1
ors,99,0.08860479295253754,gpt2-large,1
 as,102,6.776641845703125,gpt2-large,1
 high,105,4.195865154266357,gpt2-large,1
 as,110,0.0449410006403923,gpt2-large,1
 mountains,113,4.566364765167236,gpt2-large,1
.,123,0.5145811438560486,gpt2-large,1
 It,124,2.229551315307617,gpt2-large,1
 is,127,0.5500170588493347,gpt2-large,1
 in,130,3.9612135887145996,gpt2-large,1
 this,133,0.599358320236206,gpt2-large,1
 valley,138,0.3380633294582367,gpt2-large,1
 where,145,3.182992696762085,gpt2-large,1
 you,151,1.8396296501159668,gpt2-large,1
 would,155,1.120795488357544,gpt2-large,1
 find,161,0.5308120250701904,gpt2-large,1
 the,166,0.9379187822341919,gpt2-large,1
 city,170,6.310154438018799,gpt2-large,1
 of,175,0.14530767500400543,gpt2-large,1
 Bradford,178,6.69131326675415,gpt2-large,1
",",187,1.417076826095581,gpt2-large,1
 where,188,3.0841240882873535,gpt2-large,1
 once,194,6.56583833694458,gpt2-large,1
 a,199,2.0806708335876465,gpt2-large,1
 thousand,201,4.375514984130859,gpt2-large,1
 spinning,210,12.709800720214844,gpt2-large,1
 j,219,4.419986248016357,gpt2-large,1
enn,221,0.420403391122818,gpt2-large,1
ies,224,0.11652541160583496,gpt2-large,1
 that,227,6.7774271965026855,gpt2-large,1
 hum,232,9.471521377563477,gpt2-large,1
med,236,0.09031043946743011,gpt2-large,1
 and,239,2.407897472381592,gpt2-large,1
 cl,243,4.0173444747924805,gpt2-large,1
attered,246,1.1969832181930542,gpt2-large,1
 spun,253,8.825996398925781,gpt2-large,1
 wool,258,3.61063289642334,gpt2-large,1
 into,263,3.026174545288086,gpt2-large,1
 money,268,6.98093318939209,gpt2-large,1
 for,274,2.3200502395629883,gpt2-large,1
 the,278,0.5531777739524841,gpt2-large,1
 long,282,7.830130100250244,gpt2-large,1
-,287,1.792293906211853,gpt2-large,1
be,288,5.875247955322266,gpt2-large,1
arded,290,1.0560822486877441,gpt2-large,1
 mill,295,5.125204086303711,gpt2-large,1
 owners,300,3.3101723194122314,gpt2-large,1
.,307,0.528042733669281,gpt2-large,1
 That,308,4.913300037384033,gpt2-large,1
 all,313,6.368514537811279,gpt2-large,1
 mill,317,10.355607986450195,gpt2-large,1
 owners,322,0.23930445313453674,gpt2-large,1
 were,329,1.6000686883926392,gpt2-large,1
 generally,334,8.767460823059082,gpt2-large,1
 busy,344,7.234547138214111,gpt2-large,1
 as,349,5.362354278564453,gpt2-large,1
 be,352,6.333490371704102,gpt2-large,1
avers,355,1.739952564239502,gpt2-large,1
 and,360,2.043351650238037,gpt2-large,1
 quite,364,8.080002784729004,gpt2-large,1
 pleased,370,5.811147689819336,gpt2-large,1
 with,378,0.9963080286979675,gpt2-large,1
 themselves,383,2.646954298019409,gpt2-large,1
 for,394,2.1535401344299316,gpt2-large,1
 being,398,2.2402000427246094,gpt2-large,1
 so,404,1.215343952178955,gpt2-large,1
 successful,407,3.1364591121673584,gpt2-large,1
 and,418,3.323734760284424,gpt2-large,1
 well,422,3.739976167678833,gpt2-large,1
 off,427,1.6034321784973145,gpt2-large,1
 was,431,2.5690388679504395,gpt2-large,1
 known,435,5.700381278991699,gpt2-large,1
 to,441,1.1747314929962158,gpt2-large,1
 the,444,1.501866102218628,gpt2-large,1
 residents,448,4.365534782409668,gpt2-large,1
 of,458,0.7289892435073853,gpt2-large,1
 Bradford,461,1.259385347366333,gpt2-large,1
",",470,1.7306673526763916,gpt2-large,1
 and,471,1.4464938640594482,gpt2-large,1
 if,475,5.139228820800781,gpt2-large,1
 you,478,1.540976643562317,gpt2-large,1
 were,482,1.7503182888031006,gpt2-large,1
 to,487,3.2222659587860107,gpt2-large,1
 go,490,2.6820359230041504,gpt2-large,1
 into,493,2.738163471221924,gpt2-large,1
 the,498,0.6841364502906799,gpt2-large,1
 city,502,2.462836503982544,gpt2-large,1
 to,507,3.702014923095703,gpt2-large,1
 visit,510,2.3680553436279297,gpt2-large,1
 the,516,1.4133394956588745,gpt2-large,1
 state,520,7.869229793548584,gpt2-large,1
ly,526,0.08756636828184128,gpt2-large,1
 City,528,6.462973594665527,gpt2-large,1
 Hall,533,0.28820356726646423,gpt2-large,1
",",538,1.0236773490905762,gpt2-large,1
 you,539,0.5983318090438843,gpt2-large,1
 would,543,0.73464035987854,gpt2-large,1
 see,549,1.4948137998580933,gpt2-large,1
 there,553,4.843388080596924,gpt2-large,1
 the,559,2.4459915161132812,gpt2-large,1
 Crest,563,12.841336250305176,gpt2-large,1
 of,569,0.505199670791626,gpt2-large,1
 the,572,0.9000386595726013,gpt2-large,1
 City,576,3.5458662509918213,gpt2-large,1
 of,581,0.8412836790084839,gpt2-large,1
 Bradford,584,0.8030387759208679,gpt2-large,1
",",593,1.333342432975769,gpt2-large,1
 which,594,2.2839789390563965,gpt2-large,1
 those,600,8.922388076782227,gpt2-large,1
 same,606,4.920108318328857,gpt2-large,1
 mill,611,0.6872961521148682,gpt2-large,1
 owners,616,0.03282739967107773,gpt2-large,1
 created,623,6.8656535148620605,gpt2-large,1
 to,631,2.2666468620300293,gpt2-large,1
 celebrate,634,3.0813167095184326,gpt2-large,1
 their,644,0.3007895350456238,gpt2-large,1
 achievements,650,4.127049446105957,gpt2-large,1
.,663,0.3627030551433563,gpt2-large,1
 It,664,3.344266653060913,gpt2-large,1
 shows,667,6.173513412475586,gpt2-large,1
 a,673,2.3850693702697754,gpt2-large,1
 sinister,675,10.055647850036621,gpt2-large,1
 looking,684,3.045713424682617,gpt2-large,1
 bo,692,6.7484283447265625,gpt2-large,1
ar,695,0.02077462710440159,gpt2-large,1
's,697,3.975666046142578,gpt2-large,1
 head,699,0.10155382007360458,gpt2-large,1
 sitting,704,5.771188735961914,gpt2-large,1
 on,712,0.6843184232711792,gpt2-large,1
 top,715,1.3803126811981201,gpt2-large,1
 of,719,0.07526621222496033,gpt2-large,1
 a,722,0.3447401821613312,gpt2-large,1
 well,724,5.865662097930908,gpt2-large,1
 which,729,7.014394760131836,gpt2-large,1
 seems,735,4.479013442993164,gpt2-large,1
 puzzling,741,11.354501724243164,gpt2-large,1
 at,750,2.696413040161133,gpt2-large,1
 first,753,0.1490384340286255,gpt2-large,1
",",759,1.0384389162063599,gpt2-large,1
 but,760,0.4254644215106964,gpt2-large,1
 the,764,2.7709436416625977,gpt2-large,1
 reason,768,3.150040864944458,gpt2-large,1
 for,775,1.152220368385315,gpt2-large,1
 this,779,1.5476608276367188,gpt2-large,1
 symbol,784,5.205288410186768,gpt2-large,1
 is,791,0.8857014179229736,gpt2-large,1
 a,794,3.521131992340088,gpt2-large,1
 matter,796,4.40922737121582,gpt2-large,1
 of,803,0.06855960190296173,gpt2-large,1
 legend,806,4.06821346282959,gpt2-large,1
.,813,0.43902263045310974,gpt2-large,1
 There,814,4.249837875366211,gpt2-large,1
 was,820,2.423834800720215,gpt2-large,1
 once,824,1.7423609495162964,gpt2-large,1
",",829,4.746885776519775,gpt2-large,1
 legend,830,7.64508056640625,gpt2-large,1
 has,837,0.7673014998435974,gpt2-large,1
 it,841,0.0014247277285903692,gpt2-large,1
",",844,0.01676892675459385,gpt2-large,1
 a,845,0.19491225481033325,gpt2-large,1
 fearsome,847,7.368810653686523,gpt2-large,1
 bo,856,2.402495861053467,gpt2-large,1
ar,859,0.0019150504376739264,gpt2-large,1
",",861,2.9418561458587646,gpt2-large,1
 which,862,2.9413304328918457,gpt2-large,1
 lived,868,2.620828628540039,gpt2-large,1
 in,874,0.613312840461731,gpt2-large,1
 a,877,1.825058937072754,gpt2-large,1
 wood,879,4.651928901672363,gpt2-large,1
 located,884,6.345808982849121,gpt2-large,1
 just,892,3.0240256786346436,gpt2-large,1
 outside,897,1.4923839569091797,gpt2-large,1
 the,905,1.0410100221633911,gpt2-large,1
 man,909,8.954569816589355,gpt2-large,1
or,913,0.039236150681972504,gpt2-large,1
 of,915,1.0307002067565918,gpt2-large,1
 Bradford,918,0.6829253435134888,gpt2-large,1
.,927,0.6601386666297913,gpt2-large,1
 A,928,4.027036190032959,gpt2-large,1
 source,930,7.454228401184082,gpt2-large,1
 of,937,1.6343581676483154,gpt2-large,1
 great,940,2.152310371398926,gpt2-large,1
 trouble,946,4.473587512969971,gpt2-large,1
 to,954,1.0051217079162598,gpt2-large,1
 the,957,0.42534875869750977,gpt2-large,1
 local,961,3.2757749557495117,gpt2-large,1
 folk,967,4.629193305969238,gpt2-large,1
 the,972,5.212454795837402,gpt2-large,1
 bo,976,0.3357447683811188,gpt2-large,1
ar,979,0.0018253346206620336,gpt2-large,1
 was,981,1.015721321105957,gpt2-large,1
",",985,5.458469390869141,gpt2-large,1
 bringing,986,12.048068046569824,gpt2-large,1
 terror,995,5.321889400482178,gpt2-large,1
 to,1002,0.448553204536438,gpt2-large,1
 the,1005,0.8945209383964539,gpt2-large,1
 peaceful,1009,5.920625686645508,gpt2-large,1
 fl,1018,9.445956230163574,gpt2-large,1
ocks,1021,0.027569705620408058,gpt2-large,1
 and,1025,2.6025233268737793,gpt2-large,1
 rav,1029,5.6319580078125,gpt2-large,1
aging,1033,0.06102452427148819,gpt2-large,1
 the,1038,0.48965561389923096,gpt2-large,1
 countryside,1042,2.4964847564697266,gpt2-large,1
 around,1054,5.089776039123535,gpt2-large,1
.,1061,2.818385362625122,gpt2-large,1
 Even,1062,5.276176452636719,gpt2-large,1
 worse,1067,3.879875421524048,gpt2-large,1
",",1073,0.581510066986084,gpt2-large,1
 however,1074,4.892827987670898,gpt2-large,1
",",1082,0.015318481251597404,gpt2-large,1
 the,1083,2.065953254699707,gpt2-large,1
 bo,1087,0.36028924584388733,gpt2-large,1
ar,1090,0.0021257440093904734,gpt2-large,1
 most,1092,9.68626880645752,gpt2-large,1
 liked,1097,7.00949764251709,gpt2-large,1
 to,1103,0.5900780558586121,gpt2-large,1
 go,1106,4.52963924407959,gpt2-large,1
 to,1109,3.0662806034088135,gpt2-large,1
 the,1112,0.7659025192260742,gpt2-large,1
 well,1116,3.961867570877075,gpt2-large,1
 that,1121,4.116399765014648,gpt2-large,1
 was,1126,1.8638404607772827,gpt2-large,1
 in,1130,3.7012856006622314,gpt2-large,1
 the,1133,0.1842808723449707,gpt2-large,1
 wood,1137,3.115762710571289,gpt2-large,1
 and,1142,1.374489426612854,gpt2-large,1
 drink,1146,0.3886551856994629,gpt2-large,1
 its,1152,3.8426766395568848,gpt2-large,1
 fresh,1156,4.826786994934082,gpt2-large,1
 water,1162,0.8091587424278259,gpt2-large,1
",",1168,1.983489751815796,gpt2-large,1
 so,1169,3.6645665168762207,gpt2-large,1
 that,1172,1.4325143098831177,gpt2-large,1
 the,1177,2.0771267414093018,gpt2-large,1
 people,1181,3.2743985652923584,gpt2-large,1
 of,1188,1.4953951835632324,gpt2-large,1
 Bradford,1191,1.742659568786621,gpt2-large,1
 had,1200,2.699286937713623,gpt2-large,1
 second,1204,10.723448753356934,gpt2-large,1
 thoughts,1211,0.1973191350698471,gpt2-large,1
 about,1220,0.47120529413223267,gpt2-large,1
 visiting,1226,5.73106050491333,gpt2-large,1
 the,1235,0.4673571288585663,gpt2-large,1
 well,1239,2.064957857131958,gpt2-large,1
.,1244,0.7484170198440552,gpt2-large,1
 That,1245,5.110556602478027,gpt2-large,1
 the,1250,3.7625982761383057,gpt2-large,1
 people,1254,3.5870277881622314,gpt2-large,1
 of,1261,0.250497967004776,gpt2-large,1
 Bradford,1264,0.5712048411369324,gpt2-large,1
 bore,1273,8.33938980102539,gpt2-large,1
 the,1278,1.3720601797103882,gpt2-large,1
 brunt,1282,0.7061820030212402,gpt2-large,1
 of,1288,0.02417072281241417,gpt2-large,1
 the,1291,0.4229096472263336,gpt2-large,1
 beast,1295,4.445110321044922,gpt2-large,1
's,1301,0.3454305827617645,gpt2-large,1
 fer,1303,6.476722717285156,gpt2-large,1
ocity,1307,0.0006540066679008305,gpt2-large,1
 was,1312,1.2841029167175293,gpt2-large,1
 unfair,1316,8.82533073425293,gpt2-large,1
 in,1323,4.53491735458374,gpt2-large,1
 the,1326,1.5040744543075562,gpt2-large,1
 eyes,1330,4.587593078613281,gpt2-large,1
 of,1335,0.0021745148114860058,gpt2-large,1
 the,1338,0.9350723624229431,gpt2-large,1
 people,1342,1.8912208080291748,gpt2-large,1
 of,1349,0.22847257554531097,gpt2-large,1
 the,1352,1.925240159034729,gpt2-large,1
 region,1356,4.185715675354004,gpt2-large,1
.,1363,1.0542504787445068,gpt2-large,1
 Eventually,1364,7.570977687835693,gpt2-large,1
",",1375,0.44452500343322754,gpt2-large,1
 the,1376,0.8344212174415588,gpt2-large,1
 issue,1380,8.169914245605469,gpt2-large,1
 reached,1386,4.057905673980713,gpt2-large,1
 the,1394,0.5961024165153503,gpt2-large,1
 ears,1398,1.1187838315963745,gpt2-large,1
 of,1403,0.007840808480978012,gpt2-large,1
 the,1406,0.8137711882591248,gpt2-large,1
 kindly,1410,11.669633865356445,gpt2-large,1
 Lord,1417,3.609586000442505,gpt2-large,1
 of,1422,2.0437049865722656,gpt2-large,1
 the,1425,1.5529271364212036,gpt2-large,1
 Manor,1429,2.829425573348999,gpt2-large,1
 who,1435,3.7709109783172607,gpt2-large,1
 the,1439,7.467400074005127,gpt2-large,1
 people,1443,1.808184027671814,gpt2-large,1
 had,1450,4.241463661193848,gpt2-large,1
 often,1454,5.348903656005859,gpt2-large,1
 asked,1460,4.798251152038574,gpt2-large,1
 for,1466,0.8602897524833679,gpt2-large,1
 help,1470,1.2489548921585083,gpt2-large,1
.,1475,1.2860894203186035,gpt2-large,1
 The,1476,1.9620373249053955,gpt2-large,1
