token,offset,surprisal,model,string_id
If,0,,EleutherAI/gpt-j-6B,1_1
 you,2,1.6836059093475342,EleutherAI/gpt-j-6B,1_1
 were,6,3.6587133407592773,EleutherAI/gpt-j-6B,1_1
 to,11,1.5749132633209229,EleutherAI/gpt-j-6B,1_1
 journey,14,9.42159652709961,EleutherAI/gpt-j-6B,1_1
 to,22,1.124624252319336,EleutherAI/gpt-j-6B,1_1
 the,25,0.8895541429519653,EleutherAI/gpt-j-6B,1_1
 North,29,4.486240386962891,EleutherAI/gpt-j-6B,1_1
 of,35,3.1429479122161865,EleutherAI/gpt-j-6B,1_1
 England,38,1.2226200103759766,EleutherAI/gpt-j-6B,1_1
",",46,1.3236303329467773,EleutherAI/gpt-j-6B,1_1
 you,47,0.9528762698173523,EleutherAI/gpt-j-6B,1_1
 would,51,0.776735246181488,EleutherAI/gpt-j-6B,1_1
 come,57,3.4838900566101074,EleutherAI/gpt-j-6B,1_1
 to,62,1.8284193277359009,EleutherAI/gpt-j-6B,1_1
 a,65,1.201504111289978,EleutherAI/gpt-j-6B,1_1
 valley,67,5.972183704376221,EleutherAI/gpt-j-6B,1_1
 that,74,1.99571692943573,EleutherAI/gpt-j-6B,1_1
 is,79,1.3271183967590332,EleutherAI/gpt-j-6B,1_1
 surrounded,82,3.294044256210327,EleutherAI/gpt-j-6B,1_1
 by,93,0.1696014702320099,EleutherAI/gpt-j-6B,1_1
 mo,96,4.752194881439209,EleutherAI/gpt-j-6B,1_1
ors,99,0.003676086664199829,EleutherAI/gpt-j-6B,1_1
 as,102,6.482447624206543,EleutherAI/gpt-j-6B,1_1
 high,105,1.6537951231002808,EleutherAI/gpt-j-6B,1_1
 as,110,0.05811150744557381,EleutherAI/gpt-j-6B,1_1
 mountains,113,1.9688808917999268,EleutherAI/gpt-j-6B,1_1
.,123,0.47796180844306946,EleutherAI/gpt-j-6B,1_1
It,0,,EleutherAI/gpt-j-6B,1_2
 is,2,1.6215258836746216,EleutherAI/gpt-j-6B,1_2
 in,5,5.476777076721191,EleutherAI/gpt-j-6B,1_2
 this,8,2.0932297706604004,EleutherAI/gpt-j-6B,1_2
 valley,13,8.64529800415039,EleutherAI/gpt-j-6B,1_2
 where,20,3.9075798988342285,EleutherAI/gpt-j-6B,1_2
 you,26,3.117100477218628,EleutherAI/gpt-j-6B,1_2
 would,30,5.209355354309082,EleutherAI/gpt-j-6B,1_2
 find,36,1.0987842082977295,EleutherAI/gpt-j-6B,1_2
 the,41,0.9327735304832458,EleutherAI/gpt-j-6B,1_2
 city,45,4.884278297424316,EleutherAI/gpt-j-6B,1_2
 of,50,0.20824681222438812,EleutherAI/gpt-j-6B,1_2
