token,offset,surprisal,model,string_id
if,0,,openai-gpt,1
you,2,1.91854727268219,openai-gpt,1
were,5,3.216562032699585,openai-gpt,1
to,9,2.5040905475616455,openai-gpt,1
journey,11,9.803593635559082,openai-gpt,1
to,18,1.1926571130752563,openai-gpt,1
the,20,1.015518069267273,openai-gpt,1
north,23,4.240568161010742,openai-gpt,1
of,28,2.562166690826416,openai-gpt,1
england,30,2.5874741077423096,openai-gpt,1
",",37,0.9538118839263916,openai-gpt,1
you,38,1.1064836978912354,openai-gpt,1
would,41,0.6018890142440796,openai-gpt,1
come,46,3.5427865982055664,openai-gpt,1
to,50,0.7657372355461121,openai-gpt,1
a,52,2.1030378341674805,openai-gpt,1
valley,53,4.942438125610352,openai-gpt,1
that,59,2.574748992919922,openai-gpt,1
is,63,1.8279554843902588,openai-gpt,1
surrounded,65,4.062465667724609,openai-gpt,1
by,75,0.04101580008864403,openai-gpt,1
moors,77,7.056027412414551,openai-gpt,1
as,82,6.572176933288574,openai-gpt,1
high,84,3.940762996673584,openai-gpt,1
as,88,0.03844115510582924,openai-gpt,1
mountains,90,5.266881942749023,openai-gpt,1
.,99,0.3834763467311859,openai-gpt,1
it,100,2.588181734085083,openai-gpt,1
is,102,0.4354647397994995,openai-gpt,1
in,104,4.135328769683838,openai-gpt,1
this,106,0.7327091693878174,openai-gpt,1
valley,110,0.1810627430677414,openai-gpt,1
where,116,3.541332244873047,openai-gpt,1
you,121,1.834851622581482,openai-gpt,1
would,124,1.8454761505126953,openai-gpt,1
find,129,1.58500337600708,openai-gpt,1
the,133,1.3341046571731567,openai-gpt,1
city,136,4.8572998046875,openai-gpt,1
of,140,0.2416415810585022,openai-gpt,1
bradford,142,9.487159729003906,openai-gpt,1
",",150,1.3663346767425537,openai-gpt,1
where,151,2.684697151184082,openai-gpt,1
once,156,7.214911937713623,openai-gpt,1
a,160,2.325165271759033,openai-gpt,1
thousand,161,3.83760666847229,openai-gpt,1
spinning,169,13.65839958190918,openai-gpt,1
jenni,177,8.244930267333984,openai-gpt,1
es,182,0.016083266586065292,openai-gpt,1
that,184,6.7039313316345215,openai-gpt,1
hummed,188,8.414932250976562,openai-gpt,1
and,194,1.7603726387023926,openai-gpt,1
clattered,197,6.6588897705078125,openai-gpt,1
spun,206,9.146527290344238,openai-gpt,1
wool,210,10.889031410217285,openai-gpt,1
into,214,3.493227481842041,openai-gpt,1
money,218,8.064680099487305,openai-gpt,1
for,223,3.806532382965088,openai-gpt,1
the,226,1.3410829305648804,openai-gpt,1
long,229,6.4341559410095215,openai-gpt,1
-,233,1.6562800407409668,openai-gpt,1
bearded,234,6.8359832763671875,openai-gpt,1
mill,241,7.972867012023926,openai-gpt,1
owners,245,3.316575527191162,openai-gpt,1
.,251,0.7413910627365112,openai-gpt,1
that,252,4.838062763214111,openai-gpt,1
all,256,7.590456485748291,openai-gpt,1
mill,259,10.399184226989746,openai-gpt,1
owners,263,0.040560539811849594,openai-gpt,1
were,269,2.475337266921997,openai-gpt,1
generally,273,8.192140579223633,openai-gpt,1
busy,282,5.605192184448242,openai-gpt,1
as,286,4.492237091064453,openai-gpt,1
bea,288,8.452600479125977,openai-gpt,1
vers,291,0.10770421475172043,openai-gpt,1
and,295,2.3912105560302734,openai-gpt,1
quite,298,9.42879581451416,openai-gpt,1
pleased,303,5.50118350982666,openai-gpt,1
with,310,0.6485123634338379,openai-gpt,1
themselves,314,1.696406364440918,openai-gpt,1
for,324,2.6737687587738037,openai-gpt,1
being,327,3.4416074752807617,openai-gpt,1
so,332,2.4674055576324463,openai-gpt,1
successful,334,1.7834856510162354,openai-gpt,1
and,344,2.9267067909240723,openai-gpt,1
well,347,3.2848267555236816,openai-gpt,1
off,351,4.532427787780762,openai-gpt,1
was,354,4.920287609100342,openai-gpt,1
known,357,5.7314653396606445,openai-gpt,1
to,362,0.9625337719917297,openai-gpt,1
the,364,2.0958333015441895,openai-gpt,1
residents,367,5.586883544921875,openai-gpt,1
of,376,0.6044198274612427,openai-gpt,1
bradford,378,1.0169248580932617,openai-gpt,1
",",386,1.786569356918335,openai-gpt,1
and,387,1.8295665979385376,openai-gpt,1
if,390,4.831785202026367,openai-gpt,1
you,392,2.2723758220672607,openai-gpt,1
were,395,1.3227229118347168,openai-gpt,1
to,399,2.437800407409668,openai-gpt,1
go,401,3.1025068759918213,openai-gpt,1
into,403,3.410771131515503,openai-gpt,1
the,407,0.941784679889679,openai-gpt,1
city,410,1.6496334075927734,openai-gpt,1
to,414,2.8376052379608154,openai-gpt,1
visit,416,2.400702476501465,openai-gpt,1
