token,offset,surprisal,model,string_id
If,0,,gpt2-large,1_1
 you,2,0.7012755870819092,gpt2-large,1_1
 were,6,4.181474685668945,gpt2-large,1_1
 to,11,1.1449668407440186,gpt2-large,1_1
 journey,14,10.099493026733398,gpt2-large,1_1
 to,22,0.9874807000160217,gpt2-large,1_1
 the,25,0.8593653440475464,gpt2-large,1_1
 North,29,4.20870304107666,gpt2-large,1_1
 of,35,3.3981149196624756,gpt2-large,1_1
 England,38,1.7660624980926514,gpt2-large,1_1
",",46,0.9263284206390381,gpt2-large,1_1
 you,47,0.8251638412475586,gpt2-large,1_1
 would,51,0.6019269824028015,gpt2-large,1_1
 come,57,3.2106552124023438,gpt2-large,1_1
 to,62,1.4261739253997803,gpt2-large,1_1
 a,65,1.7995054721832275,gpt2-large,1_1
 valley,67,5.8064727783203125,gpt2-large,1_1
 that,74,2.412113666534424,gpt2-large,1_1
 is,79,1.4572917222976685,gpt2-large,1_1
 surrounded,82,4.6355814933776855,gpt2-large,1_1
 by,93,0.12894168496131897,gpt2-large,1_1
 mo,96,6.967554092407227,gpt2-large,1_1
ors,99,0.08860479295253754,gpt2-large,1_1
 as,102,6.776641845703125,gpt2-large,1_1
 high,105,4.195865154266357,gpt2-large,1_1
 as,110,0.0449410006403923,gpt2-large,1_1
 mountains,113,4.566364765167236,gpt2-large,1_1
.,123,0.5145811438560486,gpt2-large,1_1
It,0,,gpt2-large,1_2
 is,2,2.0540828704833984,gpt2-large,1_2
 in,5,4.856889724731445,gpt2-large,1_2
 this,8,1.7804746627807617,gpt2-large,1_2
 valley,13,8.68166446685791,gpt2-large,1_2
 where,20,2.527940273284912,gpt2-large,1_2
 you,26,3.247403144836426,gpt2-large,1_2
 would,30,4.794418811798096,gpt2-large,1_2
 find,36,1.4218406677246094,gpt2-large,1_2
 the,41,0.8979892730712891,gpt2-large,1_2
 city,45,5.734121322631836,gpt2-large,1_2
 of,50,0.3880384862422943,gpt2-large,1_2
 Bradford,53,9.314310073852539,gpt2-large,1_2
",",62,1.2029027938842773,gpt2-large,1_2
 where,63,2.5708885192871094,gpt2-large,1_2
 once,69,6.314579963684082,gpt2-large,1_2
 a,74,2.6426548957824707,gpt2-large,1_2
