token,offset,surprisal,openai_engine,model,id,created,string_id
If,0,,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 you,2,0.7756948,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 were,6,4.329734,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 to,11,1.4614141,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 journey,14,10.099096,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 to,22,1.2784497,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 the,25,0.96158564,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 North,29,4.629899,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 of,35,3.3811972,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 England,38,1.6312623,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
",",46,0.9115803,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 you,47,0.9604592,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 would,51,0.9394154,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 come,57,3.18209,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 to,62,1.9428345,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 a,65,0.9982929,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 valley,67,5.741256,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 that,74,2.3380234,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 is,79,1.3764974,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 surrounded,82,2.5592482,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 by,93,0.16186382,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 mo,96,5.160342,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
ors,99,0.0017073565,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 as,102,6.780269,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 high,105,3.527519,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 as,110,0.086164884,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 mountains,113,1.2307544,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
.,123,0.68377113,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 It,124,2.379355,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 is,127,0.3615986,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 in,130,3.294381,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 this,133,0.4179078,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 valley,138,0.41971016,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 where,145,3.4604661,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 you,151,1.2427099,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 would,155,0.63619095,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 find,161,0.18177783,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 the,166,1.1313628,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 city,170,3.252181,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 of,175,0.055434603,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 Bradford,178,3.3979943,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
",",187,1.2062706,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 where,188,2.8939302,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 once,194,4.7581496,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 a,199,1.9869298,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 thousand,201,6.7509003,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 spinning,210,6.4388103,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 j,219,5.6289554,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
enn,221,0.039108764,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
ies,224,0.042403623,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 that,227,6.7677794,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 hum,232,2.3422508,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
med,236,0.06911464,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 and,239,1.6420943,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 cl,243,2.1924255,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
attered,246,1.3650656,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 spun,253,6.0572224,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 wool,258,2.3580468,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 into,263,1.1430038,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 money,268,8.587003,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 for,274,1.6600488,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 the,278,0.4014405,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 long,282,9.498916,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
-,287,0.61192995,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
be,288,3.7286212,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
arded,290,0.07226933,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 mill,295,2.1760943,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 owners,300,0.79367614,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
.,307,0.5961407,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 That,308,4.6969604,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 all,313,5.4296155,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 mill,317,11.4119215,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 owners,322,2.1430852,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 were,329,0.8961436,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 generally,334,9.497118,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 busy,344,10.020101,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 as,349,6.759749,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 be,352,1.3673028,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
avers,355,0.0059131635,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 and,360,2.3895602,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 quite,364,4.785263,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 pleased,370,6.8027325,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 with,378,0.2803137,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 themselves,383,0.30684036,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 for,394,3.1779757,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 being,398,2.0014768,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 so,404,0.51091015,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
 successful,407,3.2750106,davinci,davinci:2020-05-03,cmpl-4A6Wb7eGnjXIuRZXjkqQreXjVJHLo,1638313709,1
