token,offset,surprisal,model,string_id
If,0,,gpt2-xl,1
 you,2,0.7475528120994568,gpt2-xl,1
 were,6,4.053225994110107,gpt2-xl,1
 to,11,1.4639796018600464,gpt2-xl,1
 journey,14,10.903993606567383,gpt2-xl,1
 to,22,1.3499351739883423,gpt2-xl,1
 the,25,0.9520214796066284,gpt2-xl,1
 North,29,4.045772552490234,gpt2-xl,1
 of,35,4.62051248550415,gpt2-xl,1
 England,38,1.1223515272140503,gpt2-xl,1
",",46,1.2016767263412476,gpt2-xl,1
 you,47,1.0220398902893066,gpt2-xl,1
 would,51,0.8054649829864502,gpt2-xl,1
 come,57,2.946002960205078,gpt2-xl,1
 to,62,1.9258759021759033,gpt2-xl,1
 a,65,2.1561243534088135,gpt2-xl,1
 valley,67,5.694431304931641,gpt2-xl,1
 that,74,2.500148296356201,gpt2-xl,1
 is,79,1.2161701917648315,gpt2-xl,1
 surrounded,82,4.299139976501465,gpt2-xl,1
 by,93,0.09882751107215881,gpt2-xl,1
 mo,96,7.086549282073975,gpt2-xl,1
ors,99,0.0008326877141371369,gpt2-xl,1
 as,102,6.420516014099121,gpt2-xl,1
 high,105,5.2822394371032715,gpt2-xl,1
 as,110,0.0733364075422287,gpt2-xl,1
 mountains,113,2.4545412063598633,gpt2-xl,1
.,123,0.5851202607154846,gpt2-xl,1
 It,124,2.236736297607422,gpt2-xl,1
 is,127,0.4424164891242981,gpt2-xl,1
 in,130,3.9250152111053467,gpt2-xl,1
 this,133,0.5400102734565735,gpt2-xl,1
 valley,138,0.2852265536785126,gpt2-xl,1
 where,145,3.343855381011963,gpt2-xl,1
 you,151,2.22385311126709,gpt2-xl,1
 would,155,1.414481520652771,gpt2-xl,1
 find,161,0.4244551360607147,gpt2-xl,1
 the,166,0.8223828673362732,gpt2-xl,1
 city,170,5.685305118560791,gpt2-xl,1
 of,175,0.0737423300743103,gpt2-xl,1
 Bradford,178,5.234118461608887,gpt2-xl,1
",",187,1.510251760482788,gpt2-xl,1
 where,188,3.202749252319336,gpt2-xl,1
 once,194,6.882829666137695,gpt2-xl,1
 a,199,1.8762495517730713,gpt2-xl,1
 thousand,201,3.9262115955352783,gpt2-xl,1
 spinning,210,11.865498542785645,gpt2-xl,1
 j,219,2.571503162384033,gpt2-xl,1
enn,221,0.19006547331809998,gpt2-xl,1
ies,224,0.04850499704480171,gpt2-xl,1
 that,227,7.518830299377441,gpt2-xl,1
 hum,232,8.92708969116211,gpt2-xl,1
med,236,0.11704875528812408,gpt2-xl,1
 and,239,2.1306469440460205,gpt2-xl,1
 cl,243,3.329331398010254,gpt2-xl,1
attered,246,1.902556300163269,gpt2-xl,1
 spun,253,6.574155330657959,gpt2-xl,1
 wool,258,3.652125358581543,gpt2-xl,1
 into,263,2.0356640815734863,gpt2-xl,1
 money,268,7.4751129150390625,gpt2-xl,1
 for,274,1.6947641372680664,gpt2-xl,1
 the,278,0.7749930620193481,gpt2-xl,1
 long,282,8.662383079528809,gpt2-xl,1
-,287,1.6059554815292358,gpt2-xl,1
be,288,5.314903736114502,gpt2-xl,1
arded,290,0.040344852954149246,gpt2-xl,1
 mill,295,3.5628206729888916,gpt2-xl,1
 owners,300,1.6237002611160278,gpt2-xl,1
.,307,0.5798458456993103,gpt2-xl,1
 That,308,5.50892972946167,gpt2-xl,1
 all,313,5.993012428283691,gpt2-xl,1
 mill,317,11.546714782714844,gpt2-xl,1
 owners,322,0.971888542175293,gpt2-xl,1
 were,329,1.9380627870559692,gpt2-xl,1
 generally,334,8.167015075683594,gpt2-xl,1
 busy,344,8.196378707885742,gpt2-xl,1
 as,349,5.092998504638672,gpt2-xl,1
 be,352,5.022850036621094,gpt2-xl,1
avers,355,0.3195325434207916,gpt2-xl,1
 and,360,2.627901792526245,gpt2-xl,1
 quite,364,7.653913497924805,gpt2-xl,1
 pleased,370,5.222696304321289,gpt2-xl,1
 with,378,0.7016111016273499,gpt2-xl,1
 themselves,383,2.5849499702453613,gpt2-xl,1
 for,394,2.164992332458496,gpt2-xl,1
 being,398,2.4027976989746094,gpt2-xl,1
 so,404,1.8942701816558838,gpt2-xl,1
 successful,407,5.586522102355957,gpt2-xl,1
 and,418,3.86458683013916,gpt2-xl,1
 well,422,4.060329437255859,gpt2-xl,1
 off,427,2.6753556728363037,gpt2-xl,1
 was,431,2.922499656677246,gpt2-xl,1
 known,435,4.600208282470703,gpt2-xl,1
 to,441,0.9989860653877258,gpt2-xl,1
 the,444,2.1424217224121094,gpt2-xl,1
 residents,448,5.034667015075684,gpt2-xl,1
 of,458,0.2940337359905243,gpt2-xl,1
 Bradford,461,0.6964825987815857,gpt2-xl,1
",",470,1.319787859916687,gpt2-xl,1
 and,471,1.5888460874557495,gpt2-xl,1
 if,475,4.370498180389404,gpt2-xl,1
 you,478,1.7090624570846558,gpt2-xl,1
 were,482,1.5401782989501953,gpt2-xl,1
 to,487,1.9609872102737427,gpt2-xl,1
 go,490,3.3544654846191406,gpt2-xl,1
 into,493,2.096346378326416,gpt2-xl,1
 the,498,1.0209217071533203,gpt2-xl,1
 city,502,2.5001261234283447,gpt2-xl,1
 to,507,3.5075228214263916,gpt2-xl,1
 visit,510,3.506927013397217,gpt2-xl,1
 the,516,1.4899804592132568,gpt2-xl,1
 state,520,8.076502799987793,gpt2-xl,1
ly,526,0.13881857693195343,gpt2-xl,1
 City,528,5.920314788818359,gpt2-xl,1
 Hall,533,0.5456977486610413,gpt2-xl,1
",",538,0.882596492767334,gpt2-xl,1
 you,539,0.5424636006355286,gpt2-xl,1
 would,543,0.4523650109767914,gpt2-xl,1
 see,549,1.4681684970855713,gpt2-xl,1
 there,553,4.556589126586914,gpt2-xl,1
 the,559,1.708562970161438,gpt2-xl,1
 Crest,563,12.224370956420898,gpt2-xl,1
 of,569,1.0715105533599854,gpt2-xl,1
 the,572,0.8899390697479248,gpt2-xl,1
 City,576,2.0935962200164795,gpt2-xl,1
 of,581,0.9328214526176453,gpt2-xl,1
 Bradford,584,0.31632912158966064,gpt2-xl,1
",",593,1.40288507938385,gpt2-xl,1
 which,594,2.4887752532958984,gpt2-xl,1
 those,600,9.564045906066895,gpt2-xl,1
 same,606,3.8326807022094727,gpt2-xl,1
 mill,611,0.8902581334114075,gpt2-xl,1
 owners,616,0.1035769134759903,gpt2-xl,1
 created,623,7.7637529373168945,gpt2-xl,1
 to,631,2.7569925785064697,gpt2-xl,1
 celebrate,634,3.568861484527588,gpt2-xl,1
 their,644,0.30553680658340454,gpt2-xl,1
 achievements,650,4.325983047485352,gpt2-xl,1
.,663,0.5079718232154846,gpt2-xl,1
 It,664,2.9340310096740723,gpt2-xl,1
 shows,667,5.6971282958984375,gpt2-xl,1
 a,673,0.9590826034545898,gpt2-xl,1
 sinister,675,9.373573303222656,gpt2-xl,1
 looking,684,1.4676263332366943,gpt2-xl,1
 bo,692,7.671442985534668,gpt2-xl,1
ar,695,0.09606938809156418,gpt2-xl,1
's,697,3.646456003189087,gpt2-xl,1
 head,699,0.061779022216796875,gpt2-xl,1
 sitting,704,4.524026393890381,gpt2-xl,1
 on,712,0.6015504002571106,gpt2-xl,1
 top,715,1.0961589813232422,gpt2-xl,1
 of,719,0.028013531118631363,gpt2-xl,1
 a,722,0.3670913875102997,gpt2-xl,1
 well,724,6.862087249755859,gpt2-xl,1
 which,729,5.427914142608643,gpt2-xl,1
 seems,735,4.108888626098633,gpt2-xl,1
 puzzling,741,12.084423065185547,gpt2-xl,1
 at,750,2.7928056716918945,gpt2-xl,1
 first,753,0.12295160442590714,gpt2-xl,1
",",759,1.0850335359573364,gpt2-xl,1
 but,760,0.4309433102607727,gpt2-xl,1
 the,764,2.8348958492279053,gpt2-xl,1
 reason,768,3.491973638534546,gpt2-xl,1
 for,775,0.9373242259025574,gpt2-xl,1
 this,779,1.403907060623169,gpt2-xl,1
 symbol,784,4.713366985321045,gpt2-xl,1
 is,791,0.5284498333930969,gpt2-xl,1
 a,794,3.7069175243377686,gpt2-xl,1
 matter,796,4.128338813781738,gpt2-xl,1
 of,803,0.1529846042394638,gpt2-xl,1
 legend,806,6.092884063720703,gpt2-xl,1
.,813,0.34010735154151917,gpt2-xl,1
 There,814,3.9121055603027344,gpt2-xl,1
 was,820,2.3362865447998047,gpt2-xl,1
 once,824,0.7931670546531677,gpt2-xl,1
",",829,5.2431182861328125,gpt2-xl,1
 legend,830,6.358053207397461,gpt2-xl,1
 has,837,0.627780020236969,gpt2-xl,1
 it,841,0.0030228656250983477,gpt2-xl,1
",",844,0.023351196199655533,gpt2-xl,1
 a,845,0.1442088931798935,gpt2-xl,1
 fearsome,847,7.039886474609375,gpt2-xl,1
 bo,856,1.4849481582641602,gpt2-xl,1
ar,859,0.001508289948105812,gpt2-xl,1
",",861,2.7951278686523438,gpt2-xl,1
 which,862,2.148442506790161,gpt2-xl,1
 lived,868,3.286302089691162,gpt2-xl,1
 in,874,0.5009608864784241,gpt2-xl,1
 a,877,2.261251449584961,gpt2-xl,1
 wood,879,3.570754051208496,gpt2-xl,1
 located,884,6.710352420806885,gpt2-xl,1
 just,892,3.2147488594055176,gpt2-xl,1
 outside,897,0.9095910787582397,gpt2-xl,1
 the,905,1.1796586513519287,gpt2-xl,1
 man,909,9.736834526062012,gpt2-xl,1
or,913,0.02262120507657528,gpt2-xl,1
 of,915,1.0296545028686523,gpt2-xl,1
 Bradford,918,0.5995493531227112,gpt2-xl,1
.,927,0.6735846996307373,gpt2-xl,1
 A,928,3.9728586673736572,gpt2-xl,1
 source,930,9.029623985290527,gpt2-xl,1
 of,937,1.4304563999176025,gpt2-xl,1
 great,940,1.218917965888977,gpt2-xl,1
 trouble,946,5.928278923034668,gpt2-xl,1
 to,954,0.8312662839889526,gpt2-xl,1
 the,957,0.679617166519165,gpt2-xl,1
 local,961,1.8406118154525757,gpt2-xl,1
 folk,967,5.408666133880615,gpt2-xl,1
 the,972,5.218247413635254,gpt2-xl,1
 bo,976,0.2652038037776947,gpt2-xl,1
ar,979,0.0015850611962378025,gpt2-xl,1
 was,981,1.0127726793289185,gpt2-xl,1
",",985,5.206890106201172,gpt2-xl,1
 bringing,986,13.642102241516113,gpt2-xl,1
 terror,995,3.721235513687134,gpt2-xl,1
 to,1002,0.737099826335907,gpt2-xl,1
 the,1005,0.5464044213294983,gpt2-xl,1
 peaceful,1009,4.725092887878418,gpt2-xl,1
 fl,1018,9.528420448303223,gpt2-xl,1
ocks,1021,0.04980231821537018,gpt2-xl,1
 and,1025,2.28106951713562,gpt2-xl,1
 rav,1029,7.269620895385742,gpt2-xl,1
aging,1033,0.09039310365915298,gpt2-xl,1
 the,1038,0.41418370604515076,gpt2-xl,1
 countryside,1042,4.117840766906738,gpt2-xl,1
 around,1054,4.930276393890381,gpt2-xl,1
