token,offset,surprisal,model,string_id
If,0,,gpt2,1_1
 you,2,3.2464523315429688,gpt2,1_1
 were,6,4.155449867248535,gpt2,1_1
 to,11,1.6342638731002808,gpt2,1_1
 journey,14,9.87576675415039,gpt2,1_1
 to,22,1.6656876802444458,gpt2,1_1
 the,25,1.6869127750396729,gpt2,1_1
 North,29,4.545604705810547,gpt2,1_1
 of,35,4.538345813751221,gpt2,1_1
 England,38,1.9881796836853027,gpt2,1_1
",",46,1.2729219198226929,gpt2,1_1
 you,47,1.2644352912902832,gpt2,1_1
 would,51,0.7200748920440674,gpt2,1_1
 come,57,3.9534549713134766,gpt2,1_1
 to,62,1.5315470695495605,gpt2,1_1
 a,65,2.1570935249328613,gpt2,1_1
 valley,67,6.629085063934326,gpt2,1_1
 that,74,3.253997564315796,gpt2,1_1
 is,79,1.7937780618667603,gpt2,1_1
 surrounded,82,5.267950057983398,gpt2,1_1
 by,93,0.13557295501232147,gpt2,1_1
 mo,96,9.10988712310791,gpt2,1_1
ors,99,0.2206406444311142,gpt2,1_1
 as,102,6.098718643188477,gpt2,1_1
 high,105,4.335243225097656,gpt2,1_1
 as,110,0.0361405685544014,gpt2,1_1
 mountains,113,5.139932155609131,gpt2,1_1
.,123,0.7588821053504944,gpt2,1_1
It,0,,gpt2,1_2
 is,2,2.8998987674713135,gpt2,1_2
 in,5,4.868319034576416,gpt2,1_2
 this,8,3.0027098655700684,gpt2,1_2
 valley,13,8.993101119995117,gpt2,1_2
 where,20,2.5135443210601807,gpt2,1_2
 you,26,3.621189594268799,gpt2,1_2
 would,30,4.874204635620117,gpt2,1_2
 find,36,1.5887367725372314,gpt2,1_2
 the,41,1.4646574258804321,gpt2,1_2
 city,45,5.986934661865234,gpt2,1_2
 of,50,0.507153332233429,gpt2,1_2
 Bradford,53,9.590181350708008,gpt2,1_2
",",62,1.1709344387054443,gpt2,1_2
 where,63,2.170879602432251,gpt2,1_2
 once,69,6.327367305755615,gpt2,1_2
 a,74,2.3209333419799805,gpt2,1_2
 thousand,76,4.442452430725098,gpt2,1_2
 spinning,85,12.425827026367188,gpt2,1_2
 j,94,7.022845268249512,gpt2,1_2
enn,96,6.703496932983398,gpt2,1_2
ies,99,0.16775040328502655,gpt2,1_2
 that,102,6.036289691925049,gpt2,1_2
 hum,107,9.077727317810059,gpt2,1_2
med,111,0.44549110531806946,gpt2,1_2
 and,114,2.3449718952178955,gpt2,1_2
 cl,118,4.643338680267334,gpt2,1_2
attered,121,3.585341691970825,gpt2,1_2
 spun,128,10.259801864624023,gpt2,1_2
 wool,133,9.923178672790527,gpt2,1_2
 into,138,3.8851399421691895,gpt2,1_2
 money,143,9.113411903381348,gpt2,1_2
 for,149,4.90647029876709,gpt2,1_2
 the,153,0.9855160117149353,gpt2,1_2
 long,157,7.264935493469238,gpt2,1_2
-,162,1.9634791612625122,gpt2,1_2
be,163,6.203601360321045,gpt2,1_2
arded,165,1.4013344049453735,gpt2,1_2
 mill,170,6.193258285522461,gpt2,1_2
 owners,175,4.132514953613281,gpt2,1_2
.,182,1.3824377059936523,gpt2,1_2
That,0,,gpt2,1_3
 all,4,5.755524635314941,gpt2,1_3
 mill,8,14.791406631469727,gpt2,1_3
 owners,13,5.907568454742432,gpt2,1_3
 were,20,3.6699869632720947,gpt2,1_3
 generally,25,8.17120361328125,gpt2,1_3
 busy,35,7.436363697052002,gpt2,1_3
 as,40,5.2782487869262695,gpt2,1_3
 be,43,8.222311019897461,gpt2,1_3
avers,46,3.0678184032440186,gpt2,1_3
 and,51,1.8274002075195312,gpt2,1_3
 quite,55,8.719156265258789,gpt2,1_3
 pleased,61,4.503888130187988,gpt2,1_3
 with,69,0.7118497490882874,gpt2,1_3
 themselves,74,4.5522565841674805,gpt2,1_3
 for,85,2.885808229446411,gpt2,1_3
 being,89,3.0967535972595215,gpt2,1_3
 so,95,2.677894115447998,gpt2,1_3
 successful,98,3.6897988319396973,gpt2,1_3
 and,109,3.5851831436157227,gpt2,1_3
 well,113,4.14089822769165,gpt2,1_3
 off,118,4.071560859680176,gpt2,1_3
 was,122,7.999765872955322,gpt2,1_3
 known,126,6.384774208068848,gpt2,1_3
 to,132,1.7469338178634644,gpt2,1_3
 the,135,2.1995434761047363,gpt2,1_3
 residents,139,5.799170017242432,gpt2,1_3
 of,149,0.7656505107879639,gpt2,1_3
 Bradford,152,7.831466197967529,gpt2,1_3
",",161,2.0645134449005127,gpt2,1_3
 and,162,2.628666877746582,gpt2,1_3
 if,166,5.326866149902344,gpt2,1_3
 you,169,2.474729537963867,gpt2,1_3
 were,173,2.167462110519409,gpt2,1_3
 to,178,1.871500015258789,gpt2,1_3
 go,181,3.031794309616089,gpt2,1_3
 into,184,2.9059722423553467,gpt2,1_3
 the,189,1.3977500200271606,gpt2,1_3
 city,193,2.9726555347442627,gpt2,1_3
 to,198,3.076687812805176,gpt2,1_3
 visit,201,2.7483482360839844,gpt2,1_3
 the,207,1.5244466066360474,gpt2,1_3
 state,211,7.187797546386719,gpt2,1_3
ly,217,1.5815106630325317,gpt2,1_3
 City,219,8.002754211425781,gpt2,1_3
 Hall,224,0.5284478068351746,gpt2,1_3
",",229,1.5346274375915527,gpt2,1_3
 you,230,0.6683610677719116,gpt2,1_3
 would,234,0.641553521156311,gpt2,1_3
 see,240,1.9246065616607666,gpt2,1_3
 there,244,4.370846748352051,gpt2,1_3
 the,250,5.256831169128418,gpt2,1_3
 Crest,254,11.45671272277832,gpt2,1_3
 of,260,1.8899593353271484,gpt2,1_3
 the,263,2.416282892227173,gpt2,1_3
 City,267,3.984010696411133,gpt2,1_3
 of,272,3.10630464553833,gpt2,1_3
 Bradford,275,0.4706295132637024,gpt2,1_3
",",284,1.349091649055481,gpt2,1_3
 which,285,1.8548192977905273,gpt2,1_3
 those,291,10.034151077270508,gpt2,1_3
 same,297,5.937288761138916,gpt2,1_3
 mill,302,1.6220401525497437,gpt2,1_3
 owners,307,0.10484222322702408,gpt2,1_3
 created,314,6.9811482429504395,gpt2,1_3
 to,322,2.9288735389709473,gpt2,1_3
