token,offset,surprisal,model,string_id
If,0,,EleutherAI/gpt-j-6B,1
 you,2,1.6836051940917969,EleutherAI/gpt-j-6B,1
 were,6,3.6587142944335938,EleutherAI/gpt-j-6B,1
 to,11,1.574912190437317,EleutherAI/gpt-j-6B,1
 journey,14,9.421595573425293,EleutherAI/gpt-j-6B,1
 to,22,1.1246236562728882,EleutherAI/gpt-j-6B,1
 the,25,0.8895540237426758,EleutherAI/gpt-j-6B,1
 North,29,4.486242294311523,EleutherAI/gpt-j-6B,1
 of,35,3.142949104309082,EleutherAI/gpt-j-6B,1
 England,38,1.2226163148880005,EleutherAI/gpt-j-6B,1
",",46,1.3236303329467773,EleutherAI/gpt-j-6B,1
 you,47,0.9528775215148926,EleutherAI/gpt-j-6B,1
 would,51,0.7767360210418701,EleutherAI/gpt-j-6B,1
 come,57,3.4838900566101074,EleutherAI/gpt-j-6B,1
 to,62,1.8284194469451904,EleutherAI/gpt-j-6B,1
 a,65,1.2015023231506348,EleutherAI/gpt-j-6B,1
 valley,67,5.972187042236328,EleutherAI/gpt-j-6B,1
 that,74,1.9957125186920166,EleutherAI/gpt-j-6B,1
 is,79,1.3271194696426392,EleutherAI/gpt-j-6B,1
 surrounded,82,3.2940433025360107,EleutherAI/gpt-j-6B,1
 by,93,0.1696016788482666,EleutherAI/gpt-j-6B,1
 mo,96,4.752195358276367,EleutherAI/gpt-j-6B,1
ors,99,0.003676086664199829,EleutherAI/gpt-j-6B,1
 as,102,6.482444763183594,EleutherAI/gpt-j-6B,1
 high,105,1.653792381286621,EleutherAI/gpt-j-6B,1
 as,110,0.0581112839281559,EleutherAI/gpt-j-6B,1
 mountains,113,1.9688835144042969,EleutherAI/gpt-j-6B,1
.,123,0.47796040773391724,EleutherAI/gpt-j-6B,1
 It,124,2.162217378616333,EleutherAI/gpt-j-6B,1
 is,127,0.5734956860542297,EleutherAI/gpt-j-6B,1
 in,130,3.421546459197998,EleutherAI/gpt-j-6B,1
 this,133,0.6586280465126038,EleutherAI/gpt-j-6B,1
 valley,138,0.5917966961860657,EleutherAI/gpt-j-6B,1
 where,145,2.9776828289031982,EleutherAI/gpt-j-6B,1
 you,151,1.8327499628067017,EleutherAI/gpt-j-6B,1
 would,155,1.0744216442108154,EleutherAI/gpt-j-6B,1
 find,161,0.22378011047840118,EleutherAI/gpt-j-6B,1
 the,166,1.0791200399398804,EleutherAI/gpt-j-6B,1
 city,170,3.0787272453308105,EleutherAI/gpt-j-6B,1
 of,175,0.03865163400769234,EleutherAI/gpt-j-6B,1
 Bradford,178,3.761272430419922,EleutherAI/gpt-j-6B,1
",",187,1.1570394039154053,EleutherAI/gpt-j-6B,1
 where,188,2.9896106719970703,EleutherAI/gpt-j-6B,1
 once,194,5.834746360778809,EleutherAI/gpt-j-6B,1
 a,199,2.4627020359039307,EleutherAI/gpt-j-6B,1
 thousand,201,5.661171913146973,EleutherAI/gpt-j-6B,1
 spinning,210,7.663713455200195,EleutherAI/gpt-j-6B,1
 j,219,3.922959566116333,EleutherAI/gpt-j-6B,1
enn,221,0.1293359249830246,EleutherAI/gpt-j-6B,1
ies,224,0.021833647042512894,EleutherAI/gpt-j-6B,1
 that,227,6.506328582763672,EleutherAI/gpt-j-6B,1
 hum,232,7.274359703063965,EleutherAI/gpt-j-6B,1
med,236,0.01248437725007534,EleutherAI/gpt-j-6B,1
 and,239,2.2520592212677,EleutherAI/gpt-j-6B,1
 cl,243,1.6335248947143555,EleutherAI/gpt-j-6B,1
attered,246,0.8341555595397949,EleutherAI/gpt-j-6B,1
 spun,253,6.745881080627441,EleutherAI/gpt-j-6B,1
 wool,258,2.0834693908691406,EleutherAI/gpt-j-6B,1
 into,263,1.052126407623291,EleutherAI/gpt-j-6B,1
 money,268,7.583152770996094,EleutherAI/gpt-j-6B,1
 for,274,1.6035335063934326,EleutherAI/gpt-j-6B,1
 the,278,0.591227650642395,EleutherAI/gpt-j-6B,1
 long,282,8.814497947692871,EleutherAI/gpt-j-6B,1
-,287,1.661077618598938,EleutherAI/gpt-j-6B,1
be,288,5.386626720428467,EleutherAI/gpt-j-6B,1
arded,290,0.20715227723121643,EleutherAI/gpt-j-6B,1
 mill,295,4.9637770652771,EleutherAI/gpt-j-6B,1
 owners,300,0.5812045335769653,EleutherAI/gpt-j-6B,1
.,307,0.6515523195266724,EleutherAI/gpt-j-6B,1
 That,308,5.200152397155762,EleutherAI/gpt-j-6B,1
 all,313,3.6846203804016113,EleutherAI/gpt-j-6B,1
 mill,317,12.892353057861328,EleutherAI/gpt-j-6B,1
 owners,322,0.8702685832977295,EleutherAI/gpt-j-6B,1
 were,329,1.24205482006073,EleutherAI/gpt-j-6B,1
 generally,334,7.132343292236328,EleutherAI/gpt-j-6B,1
 busy,344,10.698718070983887,EleutherAI/gpt-j-6B,1
 as,349,6.8161821365356445,EleutherAI/gpt-j-6B,1
 be,352,2.3660221099853516,EleutherAI/gpt-j-6B,1
avers,355,0.03863649442791939,EleutherAI/gpt-j-6B,1
 and,360,2.386260509490967,EleutherAI/gpt-j-6B,1
 quite,364,6.1637420654296875,EleutherAI/gpt-j-6B,1
