token,offset,surprisal,model,string_id
If,0,,gpt2-xl,1
 you,2,0.747550368309021,gpt2-xl,1
 were,6,4.053221702575684,gpt2-xl,1
 to,11,1.46396803855896,gpt2-xl,1
 journey,14,10.903993606567383,gpt2-xl,1
 to,22,1.3499385118484497,gpt2-xl,1
 the,25,0.9520197510719299,gpt2-xl,1
 North,29,4.045775413513184,gpt2-xl,1
 of,35,4.6205058097839355,gpt2-xl,1
 England,38,1.122357964515686,gpt2-xl,1
",",46,1.2016834020614624,gpt2-xl,1
 you,47,1.0220422744750977,gpt2-xl,1
 would,51,0.8054711222648621,gpt2-xl,1
 come,57,2.945995330810547,gpt2-xl,1
 to,62,1.925894856452942,gpt2-xl,1
 a,65,2.156130790710449,gpt2-xl,1
 valley,67,5.694431781768799,gpt2-xl,1
 that,74,2.5001516342163086,gpt2-xl,1
 is,79,1.2161697149276733,gpt2-xl,1
 surrounded,82,4.299137115478516,gpt2-xl,1
 by,93,0.09882664680480957,gpt2-xl,1
 mo,96,7.086548805236816,gpt2-xl,1
ors,99,0.0008326877141371369,gpt2-xl,1
 as,102,6.420520782470703,gpt2-xl,1
 high,105,5.282241344451904,gpt2-xl,1
 as,110,0.07333618402481079,gpt2-xl,1
 mountains,113,2.4545516967773438,gpt2-xl,1
.,123,0.5851140022277832,gpt2-xl,1
 It,124,2.236743450164795,gpt2-xl,1
 is,127,0.4424126446247101,gpt2-xl,1
 in,130,3.925016403198242,gpt2-xl,1
 this,133,0.5400153398513794,gpt2-xl,1
 valley,138,0.2852289080619812,gpt2-xl,1
 where,145,3.3438632488250732,gpt2-xl,1
 you,151,2.2238473892211914,gpt2-xl,1
 would,155,1.4144856929779053,gpt2-xl,1
 find,161,0.4244478642940521,gpt2-xl,1
 the,166,0.8223846554756165,gpt2-xl,1
 city,170,5.685306072235107,gpt2-xl,1
 of,175,0.07374200224876404,gpt2-xl,1
 Bradford,178,5.234118938446045,gpt2-xl,1
",",187,1.5102553367614746,gpt2-xl,1
 where,188,3.2027485370635986,gpt2-xl,1
 once,194,6.8828349113464355,gpt2-xl,1
 a,199,1.8762460947036743,gpt2-xl,1
 thousand,201,3.9262144565582275,gpt2-xl,1
 spinning,210,11.865508079528809,gpt2-xl,1
 j,219,2.571521282196045,gpt2-xl,1
enn,221,0.19006280601024628,gpt2-xl,1
ies,224,0.04850533977150917,gpt2-xl,1
 that,227,7.518830299377441,gpt2-xl,1
 hum,232,8.92708683013916,gpt2-xl,1
med,236,0.11705034226179123,gpt2-xl,1
 and,239,2.130642890930176,gpt2-xl,1
 cl,243,3.3293373584747314,gpt2-xl,1
attered,246,1.902543306350708,gpt2-xl,1
 spun,253,6.574158191680908,gpt2-xl,1
 wool,258,3.652121067047119,gpt2-xl,1
 into,263,2.035667896270752,gpt2-xl,1
 money,268,7.4751129150390625,gpt2-xl,1
 for,274,1.6947784423828125,gpt2-xl,1
 the,278,0.7749929428100586,gpt2-xl,1
 long,282,8.662384986877441,gpt2-xl,1
-,287,1.6059516668319702,gpt2-xl,1
be,288,5.314907073974609,gpt2-xl,1
arded,290,0.0403449684381485,gpt2-xl,1
 mill,295,3.5628252029418945,gpt2-xl,1
 owners,300,1.6236954927444458,gpt2-xl,1
.,307,0.5798485279083252,gpt2-xl,1
 That,308,5.508927345275879,gpt2-xl,1
 all,313,5.993013858795166,gpt2-xl,1
 mill,317,11.546710968017578,gpt2-xl,1
 owners,322,0.9718942046165466,gpt2-xl,1
 were,329,1.9380652904510498,gpt2-xl,1
 generally,334,8.167012214660645,gpt2-xl,1
 busy,344,8.19637680053711,gpt2-xl,1
 as,349,5.092998504638672,gpt2-xl,1
 be,352,5.022859573364258,gpt2-xl,1
avers,355,0.3195350468158722,gpt2-xl,1
 and,360,2.627896308898926,gpt2-xl,1
 quite,364,7.796853065490723,gpt2-xl,1
 pleased,370,5.092822074890137,gpt2-xl,1
 with,378,0.6872100234031677,gpt2-xl,1
 themselves,383,2.555400848388672,gpt2-xl,1
 for,394,2.1258058547973633,gpt2-xl,1
 being,398,2.405690908432007,gpt2-xl,1
 so,404,2.009449005126953,gpt2-xl,1
 successful,407,4.46331262588501,gpt2-xl,1
 and,418,3.7923989295959473,gpt2-xl,1
 well,422,4.059585094451904,gpt2-xl,1
 off,427,2.573540210723877,gpt2-xl,1
 was,431,2.917335271835327,gpt2-xl,1
 known,435,4.812554359436035,gpt2-xl,1
 to,441,1.1342400312423706,gpt2-xl,1
 the,444,2.054898262023926,gpt2-xl,1
 residents,448,4.633256912231445,gpt2-xl,1
 of,458,0.24593137204647064,gpt2-xl,1
 Bradford,461,0.799680769443512,gpt2-xl,1
",",470,1.5128004550933838,gpt2-xl,1
 and,471,1.6766376495361328,gpt2-xl,1
 if,475,4.40006160736084,gpt2-xl,1
 you,478,1.0727589130401611,gpt2-xl,1
 were,482,1.1827822923660278,gpt2-xl,1
 to,487,0.7286267280578613,gpt2-xl,1
 go,490,3.060149669647217,gpt2-xl,1
 into,493,2.2192375659942627,gpt2-xl,1
 the,498,0.6746091246604919,gpt2-xl,1
 city,502,1.9781653881072998,gpt2-xl,1
 to,507,3.324519157409668,gpt2-xl,1
 visit,510,3.216266632080078,gpt2-xl,1
 the,516,1.2460252046585083,gpt2-xl,1
 state,520,8.169031143188477,gpt2-xl,1
ly,526,0.125074565410614,gpt2-xl,1
 City,528,5.903447151184082,gpt2-xl,1
 Hall,533,0.3160841763019562,gpt2-xl,1
