token,offset,surprisal,openai_engine,model,id,created,string_id
If,0,,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 you,2,0.895629,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 were,6,4.535265,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 to,11,1.8035066,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 journey,14,10.674785,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 to,22,1.2129875,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 the,25,1.285382,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 North,29,4.0590897,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 of,35,2.7150512,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 England,38,1.5038526,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
",",46,0.99675274,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 you,47,1.077746,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 would,51,0.47115302,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 come,57,2.928371,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 to,62,1.3025255,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 a,65,1.5731055,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 valley,67,5.4305215,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 that,74,2.2261798,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 is,79,1.2743429,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 surrounded,82,3.398527,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
 by,93,0.12376069,ada,ada:2020-05-03,cmpl-4A6WjQyhvfuXjBuHym6muWreb1NqC,1638313717,1_1
