story_num	sentence_num	sentence	word_num_in_sentence	word_num_in_story
1	1	If	1	1
1	1	you	2	2
1	1	were	3	3
1	1	to	4	4
1	1	journey	5	5
1	1	to	6	6
1	1	the	7	7
1	1	North	8	8
1	1	of	9	9
1	1	England,	10	10
1	1	you	11	11
1	1	would	12	12
1	1	come	13	13
1	1	to	14	14
1	1	a	15	15
1	1	valley	16	16
1	1	that	17	17
1	1	is	18	18
1	1	surrounded	19	19
1	1	by	20	20
1	1	moors	21	21
1	1	as	22	22
1	1	high	23	23
1	1	as	24	24
1	1	mountains.	25	25
1	2	It	1	26
1	2	is	2	27
1	2	in	3	28
1	2	this	4	29
1	2	valley	5	30
1	2	where	6	31
1	2	you	7	32
1	2	would	8	33
1	2	find	9	34
1	2	the	10	35
1	2	city	11	36
1	2	of	12	37
1	2	Bradford,	13	38
1	2	where	14	39
1	2	once	15	40
1	2	a	16	41
1	2	thousand	17	42
1	2	spinning	18	43
1	2	jennies	19	44
1	2	that	20	45
1	2	hummed	21	46
1	2	and	22	47
1	2	clattered	23	48
1	2	spun	24	49
1	2	wool	25	50
1	2	into	26	51
1	2	money	27	52
1	2	for	28	53
1	2	the	29	54
1	2	long-bearded	30	55
1	2	mill	31	56
1	2	owners.	32	57
1	3	That	1	58
1	3	all	2	59
1	3	mill	3	60
1	3	owners	4	61
1	3	were	5	62
1	3	generally	6	63
1	3	busy	7	64
1	3	as	8	65
1	3	beavers	9	66
1	3	and	10	67
1	3	quite	11	68
1	3	pleased	12	69
1	3	with	13	70
1	3	themselves	14	71
1	3	for	15	72
1	3	being	16	73
1	3	so	17	74
1	3	successful	18	75
1	3	and	19	76
1	3	well	20	77
1	3	off	21	78
1	3	was	22	79
1	3	known	23	80
1	3	to	24	81
1	3	the	25	82
1	3	residents	26	83
1	3	of	27	84
1	3	Bradford,	28	85
1	3	and	29	86
1	3	if	30	87
1	3	you	31	88
1	3	were	32	89
1	3	to	33	90
1	3	go	34	91
1	3	into	35	92
1	3	the	36	93
1	3	city	37	94
1	3	to	38	95
1	3	visit	39	96
1	3	the	40	97
1	3	stately	41	98
1	3	City	42	99
1	3	Hall,	43	100
1	3	you	44	101
1	3	would	45	102
1	3	see	46	103
1	3	there	47	104
1	3	the	48	105
1	3	Crest	49	106
1	3	of	50	107
1	3	the	51	108
1	3	City	52	109
1	3	of	53	110
1	3	Bradford,	54	111
1	3	which	55	112
1	3	those	56	113
1	3	same	57	114
1	3	mill	58	115
1	3	owners	59	116
1	3	created	60	117
1	3	to	61	118
1	3	celebrate	62	119
1	3	their	63	120
1	3	achievements.	64	121
1	4	It	1	122
1	4	shows	2	123
1	4	a	3	124
1	4	sinister	4	125
1	4	looking	5	126
1	4	boar's	6	127
1	4	head	7	128
1	4	sitting	8	129
1	4	on	9	130
1	4	top	10	131
1	4	of	11	132
1	4	a	12	133
1	4	well	13	134
