token,offset,surprisal,model,string_id
If,0,,transfo-xl-wt103,1_1
you,2,3.546933650970459,transfo-xl-wt103,1_1
were,5,2.682983160018921,transfo-xl-wt103,1_1
to,9,1.7485593557357788,transfo-xl-wt103,1_1
journey,11,11.162555694580078,transfo-xl-wt103,1_1
to,18,1.4589567184448242,transfo-xl-wt103,1_1
the,20,1.1050066947937012,transfo-xl-wt103,1_1
North,23,6.200547218322754,transfo-xl-wt103,1_1
of,28,3.4299979209899902,transfo-xl-wt103,1_1
England,30,3.835371971130371,transfo-xl-wt103,1_1
",",37,0.3187527060508728,transfo-xl-wt103,1_1
you,38,3.672032117843628,transfo-xl-wt103,1_1
would,41,0.6182506680488586,transfo-xl-wt103,1_1
come,46,5.064633369445801,transfo-xl-wt103,1_1
to,50,1.2509946823120117,transfo-xl-wt103,1_1
a,52,2.8983993530273438,transfo-xl-wt103,1_1
valley,53,9.698408126831055,transfo-xl-wt103,1_1
that,59,2.6744272708892822,transfo-xl-wt103,1_1
is,63,2.1840953826904297,transfo-xl-wt103,1_1
surrounded,65,5.258011817932129,transfo-xl-wt103,1_1
by,75,0.061274927109479904,transfo-xl-wt103,1_1
moors,77,9.493776321411133,transfo-xl-wt103,1_1
as,82,5.123073577880859,transfo-xl-wt103,1_1
high,84,6.560983657836914,transfo-xl-wt103,1_1
as,88,0.04159676283597946,transfo-xl-wt103,1_1
mountains,90,5.674320220947266,transfo-xl-wt103,1_1
.,99,1.1226716041564941,transfo-xl-wt103,1_1
It,0,,transfo-xl-wt103,1_2
is,2,2.962959051132202,transfo-xl-wt103,1_2
in,4,4.7212443351745605,transfo-xl-wt103,1_2
this,6,3.5384795665740967,transfo-xl-wt103,1_2
valley,10,10.400793075561523,transfo-xl-wt103,1_2
where,16,3.314239263534546,transfo-xl-wt103,1_2
you,21,5.98892068862915,transfo-xl-wt103,1_2
would,24,3.7390899658203125,transfo-xl-wt103,1_2
find,29,2.4690704345703125,transfo-xl-wt103,1_2
the,33,1.665116548538208,transfo-xl-wt103,1_2
city,36,7.197471618652344,transfo-xl-wt103,1_2
of,40,3.082275867462158,transfo-xl-wt103,1_2
Bradford,42,10.161778450012207,transfo-xl-wt103,1_2
",",50,2.238565683364868,transfo-xl-wt103,1_2
where,51,1.3355354070663452,transfo-xl-wt103,1_2
once,56,7.908115863800049,transfo-xl-wt103,1_2
a,60,3.25144624710083,transfo-xl-wt103,1_2
thousand,61,6.882061004638672,transfo-xl-wt103,1_2
spinning,69,16.8887996673584,transfo-xl-wt103,1_2
jennies,77,9.444319725036621,transfo-xl-wt103,1_2
that,84,6.403562545776367,transfo-xl-wt103,1_2
hummed,88,15.506330490112305,transfo-xl-wt103,1_2
and,94,2.616787910461426,transfo-xl-wt103,1_2
clattered,97,12.312859535217285,transfo-xl-wt103,1_2
spun,106,11.676730155944824,transfo-xl-wt103,1_2
wool,110,8.228780746459961,transfo-xl-wt103,1_2
into,114,5.936550617218018,transfo-xl-wt103,1_2
money,118,7.5672526359558105,transfo-xl-wt103,1_2
for,123,3.05684232711792,transfo-xl-wt103,1_2
the,126,1.4864630699157715,transfo-xl-wt103,1_2
long,129,7.740592956542969,transfo-xl-wt103,1_2
@-@,133,1.5530388355255127,transfo-xl-wt103,1_2
bearded,136,13.608213424682617,transfo-xl-wt103,1_2
mill,143,7.637450695037842,transfo-xl-wt103,1_2
owners,147,4.826087474822998,transfo-xl-wt103,1_2
.,153,0.864789605140686,transfo-xl-wt103,1_2
That,0,,transfo-xl-wt103,1_3
all,4,7.121411323547363,transfo-xl-wt103,1_3
mill,7,11.053743362426758,transfo-xl-wt103,1_3
owners,11,7.497440338134766,transfo-xl-wt103,1_3
were,17,2.7754805088043213,transfo-xl-wt103,1_3
generally,21,9.568506240844727,transfo-xl-wt103,1_3
busy,30,9.849603652954102,transfo-xl-wt103,1_3
as,34,5.511784553527832,transfo-xl-wt103,1_3
beavers,36,11.723031997680664,transfo-xl-wt103,1_3
and,43,2.002037525177002,transfo-xl-wt103,1_3
quite,46,10.786398887634277,transfo-xl-wt103,1_3
pleased,51,7.952253341674805,transfo-xl-wt103,1_3
with,58,0.6118927001953125,transfo-xl-wt103,1_3
themselves,62,5.485851764678955,transfo-xl-wt103,1_3
for,72,5.084319114685059,transfo-xl-wt103,1_3
being,75,2.2066335678100586,transfo-xl-wt103,1_3
so,80,3.429280996322632,transfo-xl-wt103,1_3
successful,82,4.856293678283691,transfo-xl-wt103,1_3
and,92,3.4127213954925537,transfo-xl-wt103,1_3
well,95,4.780663967132568,transfo-xl-wt103,1_3
off,99,8.421442031860352,transfo-xl-wt103,1_3
was,102,3.918182611465454,transfo-xl-wt103,1_3
known,105,6.279152870178223,transfo-xl-wt103,1_3
to,110,1.926590919494629,transfo-xl-wt103,1_3
the,112,1.2683862447738647,transfo-xl-wt103,1_3
residents,115,4.996230125427246,transfo-xl-wt103,1_3
of,124,0.4088013768196106,transfo-xl-wt103,1_3
Bradford,126,10.091672897338867,transfo-xl-wt103,1_3
",",134,1.5515925884246826,transfo-xl-wt103,1_3
and,135,2.188365936279297,transfo-xl-wt103,1_3
