token,offset,surprisal,openai_engine,model,id,created,string_id
If,0,,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 you,2,0.87774044,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 were,6,4.2376685,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 to,11,1.4013385,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 journey,14,9.422297,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 to,22,1.1531503,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 the,25,0.9387168,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 North,29,4.2631207,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 of,35,3.1863177,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 England,38,2.3631501,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
",",46,0.8745856,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 you,47,0.9379474,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 would,51,0.63156945,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 come,57,3.863078,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 to,62,1.438097,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 a,65,1.3416833,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 valley,67,5.6487746,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 that,74,2.1693735,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 is,79,1.2997596,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 surrounded,82,3.4188044,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 by,93,0.10571172,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 mo,96,5.8210783,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
ors,99,0.0029508066,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 as,102,7.298837,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 high,105,3.7288163,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 as,110,0.069338344,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
 mountains,113,2.5190842,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
.,123,0.49839848,curie,curie:2020-05-03,cmpl-4A73BEcAuHLyeBFYCIHWvnq0eUObI,1638315729,1_1
It,0,,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 is,2,2.0911286,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 in,5,4.909234,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 this,8,1.7581911,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 valley,13,9.107017,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 where,20,3.008885,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 you,26,3.2313235,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 would,30,4.9646883,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 find,36,0.9119025,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 the,41,0.9289395,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 city,45,5.1641994,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 of,50,0.31782934,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 Bradford,53,10.077183,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
",",62,0.94310904,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 where,63,2.8344972,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 once,69,5.052142,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 a,74,2.8126073,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 thousand,76,4.45452,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
 spinning,85,9.135332,curie,curie:2020-05-03,cmpl-4A73BCfZCaEDvCioRrFBR6BKdjU6D,1638315729,1_2
