token,offset,surprisal,model,string_id
if,0,,openai-gpt,1
you,2,1.9185503721237183,openai-gpt,1
were,5,3.2165634632110596,openai-gpt,1
to,9,2.5040900707244873,openai-gpt,1
journey,11,9.803594589233398,openai-gpt,1
to,18,1.192655324935913,openai-gpt,1
the,20,1.015519142150879,openai-gpt,1
north,23,4.240569114685059,openai-gpt,1
of,28,2.562164306640625,openai-gpt,1
england,30,2.5874714851379395,openai-gpt,1
",",37,0.9538113474845886,openai-gpt,1
you,38,1.1064835786819458,openai-gpt,1
would,41,0.601887047290802,openai-gpt,1
come,46,3.542785882949829,openai-gpt,1
to,50,0.765733003616333,openai-gpt,1
a,52,2.1030378341674805,openai-gpt,1
valley,53,4.942439079284668,openai-gpt,1
that,59,2.5747480392456055,openai-gpt,1
is,63,1.8279554843902588,openai-gpt,1
surrounded,65,4.062466621398926,openai-gpt,1
by,75,0.04101591557264328,openai-gpt,1
moors,77,7.056026458740234,openai-gpt,1
as,82,6.572173595428467,openai-gpt,1
high,84,3.9407615661621094,openai-gpt,1
as,88,0.03844081237912178,openai-gpt,1
mountains,90,5.266880035400391,openai-gpt,1
.,99,0.38347673416137695,openai-gpt,1
it,100,2.588181734085083,openai-gpt,1
is,102,0.4354638159275055,openai-gpt,1
in,104,4.135327339172363,openai-gpt,1
this,106,0.7327061891555786,openai-gpt,1
valley,110,0.18106374144554138,openai-gpt,1
where,116,3.541332721710205,openai-gpt,1
you,121,1.8348546028137207,openai-gpt,1
would,124,1.8454772233963013,openai-gpt,1
find,129,1.58500337600708,openai-gpt,1
the,133,1.3341039419174194,openai-gpt,1
city,136,4.857298851013184,openai-gpt,1
of,140,0.24164073169231415,openai-gpt,1
bradford,142,9.487157821655273,openai-gpt,1
",",150,1.3663352727890015,openai-gpt,1
where,151,2.684697151184082,openai-gpt,1
once,156,7.214909553527832,openai-gpt,1
a,160,2.3251657485961914,openai-gpt,1
thousand,161,3.83760142326355,openai-gpt,1
spinning,169,13.658395767211914,openai-gpt,1
jenni,177,8.244932174682617,openai-gpt,1
es,182,0.016083383932709694,openai-gpt,1
that,184,6.703929424285889,openai-gpt,1
hummed,188,8.414929389953613,openai-gpt,1
and,194,1.7603756189346313,openai-gpt,1
clattered,197,6.658889293670654,openai-gpt,1
spun,206,9.146525382995605,openai-gpt,1
wool,210,10.889029502868652,openai-gpt,1
into,214,3.4932284355163574,openai-gpt,1
money,218,8.064675331115723,openai-gpt,1
for,223,3.8065319061279297,openai-gpt,1
the,226,1.3410813808441162,openai-gpt,1
long,229,6.434156894683838,openai-gpt,1
-,233,1.6562830209732056,openai-gpt,1
bearded,234,6.835979461669922,openai-gpt,1
mill,241,7.972866535186768,openai-gpt,1
owners,245,3.3165717124938965,openai-gpt,1
.,251,0.7413892149925232,openai-gpt,1
that,252,4.838062286376953,openai-gpt,1
all,256,7.590456485748291,openai-gpt,1
mill,259,10.399181365966797,openai-gpt,1
owners,263,0.040560655295848846,openai-gpt,1
were,269,2.475337266921997,openai-gpt,1
generally,273,8.192140579223633,openai-gpt,1
busy,282,5.605193138122559,openai-gpt,1
as,286,4.492236137390137,openai-gpt,1
bea,288,8.452603340148926,openai-gpt,1
vers,291,0.10770421475172043,openai-gpt,1
and,295,2.3912105560302734,openai-gpt,1
quite,298,9.428796768188477,openai-gpt,1
pleased,303,5.501184940338135,openai-gpt,1
with,310,0.6485128998756409,openai-gpt,1
themselves,314,1.6964104175567627,openai-gpt,1
for,324,2.673767566680908,openai-gpt,1
being,327,3.3873186111450195,openai-gpt,1
so,332,2.3862576484680176,openai-gpt,1
successful,334,1.7721973657608032,openai-gpt,1
and,344,2.9897470474243164,openai-gpt,1
well,347,3.371805191040039,openai-gpt,1
off,351,4.582677841186523,openai-gpt,1
was,354,5.024672508239746,openai-gpt,1
known,357,5.603954792022705,openai-gpt,1
to,362,0.8668211102485657,openai-gpt,1
the,364,2.0753204822540283,openai-gpt,1
residents,367,5.701373100280762,openai-gpt,1
of,376,0.48284661769866943,openai-gpt,1
bradford,378,1.0461291074752808,openai-gpt,1
",",386,1.7000923156738281,openai-gpt,1
and,387,1.759790301322937,openai-gpt,1
if,390,4.623849868774414,openai-gpt,1
you,392,1.5674448013305664,openai-gpt,1
were,395,0.9947782754898071,openai-gpt,1
to,399,0.641303300857544,openai-gpt,1
go,401,2.448312759399414,openai-gpt,1
into,403,3.3964743614196777,openai-gpt,1
the,407,1.0987080335617065,openai-gpt,1
city,410,1.519480586051941,openai-gpt,1
to,414,3.1750197410583496,openai-gpt,1
visit,416,2.2142086029052734,openai-gpt,1
the,421,1.3127009868621826,openai-gpt,1
stately,424,8.820219039916992,openai-gpt,1
city,431,5.294471740722656,openai-gpt,1
hall,435,4.045546531677246,openai-gpt,1
",",439,1.051008701324463,openai-gpt,1
you,440,0.6435071229934692,openai-gpt,1
would,443,0.317212849855423,openai-gpt,1
see,448,2.4911904335021973,openai-gpt,1
there,451,4.781399250030518,openai-gpt,1
the,456,3.7220284938812256,openai-gpt,1
crest,459,9.522335052490234,openai-gpt,1
of,464,0.08961019665002823,openai-gpt,1
the,466,1.057262659072876,openai-gpt,1
city,469,4.495647430419922,openai-gpt,1
of,473,2.2392654418945312,openai-gpt,1
bradford,475,0.550919771194458,openai-gpt,1
",",483,0.8909990191459656,openai-gpt,1
which,484,2.3621864318847656,openai-gpt,1
those,489,10.183883666992188,openai-gpt,1
same,494,6.577350616455078,openai-gpt,1
mill,498,3.0891613960266113,openai-gpt,1
owners,502,0.03936990723013878,openai-gpt,1
created,508,7.788126468658447,openai-gpt,1
to,515,2.3961570262908936,openai-gpt,1
celebrate,517,4.993491172790527,openai-gpt,1
their,526,0.7029447555541992,openai-gpt,1
achievements,531,5.185729026794434,openai-gpt,1
.,543,0.9781615138053894,openai-gpt,1
it,544,2.667160987854004,openai-gpt,1
shows,546,8.756625175476074,openai-gpt,1
