token,offset,surprisal,model,string_id
If,0,,EleutherAI/gpt-j-6B,1
 you,2,1.683608055114746,EleutherAI/gpt-j-6B,1
 were,6,3.658712387084961,EleutherAI/gpt-j-6B,1
 to,11,1.5749133825302124,EleutherAI/gpt-j-6B,1
 journey,14,9.42159652709961,EleutherAI/gpt-j-6B,1
 to,22,1.1246229410171509,EleutherAI/gpt-j-6B,1
 the,25,0.8895532488822937,EleutherAI/gpt-j-6B,1
 North,29,4.486240386962891,EleutherAI/gpt-j-6B,1
 of,35,3.1429495811462402,EleutherAI/gpt-j-6B,1
 England,38,1.2226183414459229,EleutherAI/gpt-j-6B,1
",",46,1.3236314058303833,EleutherAI/gpt-j-6B,1
 you,47,0.9528771042823792,EleutherAI/gpt-j-6B,1
 would,51,0.7767366766929626,EleutherAI/gpt-j-6B,1
 come,57,3.4838900566101074,EleutherAI/gpt-j-6B,1
 to,62,1.828413486480713,EleutherAI/gpt-j-6B,1
 a,65,1.2015057802200317,EleutherAI/gpt-j-6B,1
 valley,67,5.972185134887695,EleutherAI/gpt-j-6B,1
 that,74,1.9957138299942017,EleutherAI/gpt-j-6B,1
 is,79,1.3271187543869019,EleutherAI/gpt-j-6B,1
 surrounded,82,3.2940421104431152,EleutherAI/gpt-j-6B,1
 by,93,0.1696014702320099,EleutherAI/gpt-j-6B,1
 mo,96,4.752193927764893,EleutherAI/gpt-j-6B,1
ors,99,0.003676086664199829,EleutherAI/gpt-j-6B,1
 as,102,6.482448577880859,EleutherAI/gpt-j-6B,1
 high,105,1.653796911239624,EleutherAI/gpt-j-6B,1
 as,110,0.0581112839281559,EleutherAI/gpt-j-6B,1
 mountains,113,1.96888267993927,EleutherAI/gpt-j-6B,1
.,123,0.4779602587223053,EleutherAI/gpt-j-6B,1
 It,124,2.1622228622436523,EleutherAI/gpt-j-6B,1
 is,127,0.5734947919845581,EleutherAI/gpt-j-6B,1
 in,130,3.4215445518493652,EleutherAI/gpt-j-6B,1
 this,133,0.6586287617683411,EleutherAI/gpt-j-6B,1
 valley,138,0.5917952060699463,EleutherAI/gpt-j-6B,1
 where,145,2.977684736251831,EleutherAI/gpt-j-6B,1
 you,151,1.8327511548995972,EleutherAI/gpt-j-6B,1
 would,155,1.0744211673736572,EleutherAI/gpt-j-6B,1
 find,161,0.22377926111221313,EleutherAI/gpt-j-6B,1
 the,166,1.079119324684143,EleutherAI/gpt-j-6B,1
 city,170,3.0787267684936523,EleutherAI/gpt-j-6B,1
 of,175,0.03865163400769234,EleutherAI/gpt-j-6B,1
 Bradford,178,3.76127552986145,EleutherAI/gpt-j-6B,1
",",187,1.1570388078689575,EleutherAI/gpt-j-6B,1
 where,188,2.989609479904175,EleutherAI/gpt-j-6B,1
 once,194,5.834750175476074,EleutherAI/gpt-j-6B,1
 a,199,2.4627037048339844,EleutherAI/gpt-j-6B,1
 thousand,201,5.661170959472656,EleutherAI/gpt-j-6B,1
 spinning,210,7.6637139320373535,EleutherAI/gpt-j-6B,1
 j,219,3.922959327697754,EleutherAI/gpt-j-6B,1
enn,221,0.12933498620986938,EleutherAI/gpt-j-6B,1
ies,224,0.02183353155851364,EleutherAI/gpt-j-6B,1
 that,227,6.506328105926514,EleutherAI/gpt-j-6B,1
 hum,232,7.274358749389648,EleutherAI/gpt-j-6B,1
med,236,0.012484495528042316,EleutherAI/gpt-j-6B,1
 and,239,2.2520623207092285,EleutherAI/gpt-j-6B,1
 cl,243,1.633524775505066,EleutherAI/gpt-j-6B,1
attered,246,0.8341543078422546,EleutherAI/gpt-j-6B,1
 spun,253,6.74588680267334,EleutherAI/gpt-j-6B,1
 wool,258,2.0834689140319824,EleutherAI/gpt-j-6B,1
 into,263,1.0521254539489746,EleutherAI/gpt-j-6B,1
 money,268,7.583152770996094,EleutherAI/gpt-j-6B,1
 for,274,1.6035354137420654,EleutherAI/gpt-j-6B,1
 the,278,0.5912268757820129,EleutherAI/gpt-j-6B,1
 long,282,8.814496994018555,EleutherAI/gpt-j-6B,1
-,287,1.6610804796218872,EleutherAI/gpt-j-6B,1
be,288,5.386627674102783,EleutherAI/gpt-j-6B,1
arded,290,0.2071523815393448,EleutherAI/gpt-j-6B,1
 mill,295,4.963778972625732,EleutherAI/gpt-j-6B,1
 owners,300,0.581204891204834,EleutherAI/gpt-j-6B,1
.,307,0.651552140712738,EleutherAI/gpt-j-6B,1
 That,308,5.200153827667236,EleutherAI/gpt-j-6B,1
 all,313,3.6846210956573486,EleutherAI/gpt-j-6B,1
 mill,317,12.89234733581543,EleutherAI/gpt-j-6B,1
 owners,322,0.8702670931816101,EleutherAI/gpt-j-6B,1
 were,329,1.2420551776885986,EleutherAI/gpt-j-6B,1
 generally,334,7.1323442459106445,EleutherAI/gpt-j-6B,1
 busy,344,10.698716163635254,EleutherAI/gpt-j-6B,1
 as,349,6.816181182861328,EleutherAI/gpt-j-6B,1
 be,352,2.3660202026367188,EleutherAI/gpt-j-6B,1
avers,355,0.03863660991191864,EleutherAI/gpt-j-6B,1
 and,360,2.386258125305176,EleutherAI/gpt-j-6B,1
 quite,364,6.128790855407715,EleutherAI/gpt-j-6B,1
 pleased,370,5.368405342102051,EleutherAI/gpt-j-6B,1
 with,378,0.3814793527126312,EleutherAI/gpt-j-6B,1
