token,offset,surprisal,model,string_id
If,0,,gpt2-xl,1_1
 you,2,0.7475534081459045,gpt2-xl,1_1
 were,6,4.053225994110107,gpt2-xl,1_1
 to,11,1.4639785289764404,gpt2-xl,1_1
 journey,14,10.903992652893066,gpt2-xl,1_1
 to,22,1.3499361276626587,gpt2-xl,1_1
 the,25,0.9520217776298523,gpt2-xl,1_1
 North,29,4.045771598815918,gpt2-xl,1_1
 of,35,4.620510578155518,gpt2-xl,1_1
 England,38,1.1223527193069458,gpt2-xl,1_1
",",46,1.2016773223876953,gpt2-xl,1_1
 you,47,1.022041916847229,gpt2-xl,1_1
 would,51,0.8054649829864502,gpt2-xl,1_1
 come,57,2.9460043907165527,gpt2-xl,1_1
 to,62,1.9258750677108765,gpt2-xl,1_1
 a,65,2.15612530708313,gpt2-xl,1_1
 valley,67,5.694431304931641,gpt2-xl,1_1
 that,74,2.500150203704834,gpt2-xl,1_1
 is,79,1.2161717414855957,gpt2-xl,1_1
 surrounded,82,4.299140453338623,gpt2-xl,1_1
 by,93,0.09882751107215881,gpt2-xl,1_1
 mo,96,7.086549758911133,gpt2-xl,1_1
ors,99,0.0008326877141371369,gpt2-xl,1_1
 as,102,6.420516490936279,gpt2-xl,1_1
 high,105,5.2822394371032715,gpt2-xl,1_1
 as,110,0.0733364075422287,gpt2-xl,1_1
 mountains,113,2.4545464515686035,gpt2-xl,1_1
.,123,0.5851200819015503,gpt2-xl,1_1
It,0,,gpt2-xl,1_2
 is,2,1.938675045967102,gpt2-xl,1_2
 in,5,4.874955654144287,gpt2-xl,1_2
 this,8,1.8659026622772217,gpt2-xl,1_2
 valley,13,9.563849449157715,gpt2-xl,1_2
 where,20,2.1593925952911377,gpt2-xl,1_2
 you,26,3.3557538986206055,gpt2-xl,1_2
 would,30,5.076066493988037,gpt2-xl,1_2
 find,36,0.7406260371208191,gpt2-xl,1_2
 the,41,0.71320641040802,gpt2-xl,1_2
 city,45,5.069297790527344,gpt2-xl,1_2
 of,50,0.2558613419532776,gpt2-xl,1_2
 Bradford,53,8.420175552368164,gpt2-xl,1_2
",",62,1.0701937675476074,gpt2-xl,1_2
 where,63,2.7735819816589355,gpt2-xl,1_2
 once,69,6.704809188842773,gpt2-xl,1_2
 a,74,2.2495365142822266,gpt2-xl,1_2
 thousand,76,4.055344104766846,gpt2-xl,1_2
 spinning,85,11.855027198791504,gpt2-xl,1_2
 j,94,2.12380313873291,gpt2-xl,1_2
enn,96,0.3046679198741913,gpt2-xl,1_2
ies,99,0.07028798013925552,gpt2-xl,1_2
 that,102,7.684625148773193,gpt2-xl,1_2
 hum,107,7.339676380157471,gpt2-xl,1_2
med,111,0.08607961982488632,gpt2-xl,1_2
 and,114,2.073535203933716,gpt2-xl,1_2
 cl,118,2.8944954872131348,gpt2-xl,1_2
attered,121,1.8090450763702393,gpt2-xl,1_2
 spun,128,6.6442060470581055,gpt2-xl,1_2
 wool,133,6.013545036315918,gpt2-xl,1_2
 into,138,1.8378987312316895,gpt2-xl,1_2
